,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst
1530,"Jul 5, 2016","Jul 5, 2016",The Dog Lover,ESX Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
1531,"Nov 1, 2016","Feb 19, 2016",A.C.O.R.N.S.: Operation Crackdown,Viva Entertainment,Adventure,Original Screenplay,Digital Animation,Kids Fiction,8500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1353287.0,1353287.0,N/A
1532,"Dec 31, 2016","Dec 31, 2016",Rodeo Girl,,Drama,Original Screenplay,Live Action,Kids Fiction,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
1533,"Mar 17, 2017","Mar 16, 2017",Beauty and the Beast,Walt Disney,Musical,Remake,Animation/Live Action,Fantasy,160000000.0,4210.0,4210.0,35923.0,174750616.0,504014165.0,514690049.0,751066490.0,1255080655.0,tt11861230
1534,"Jun 30, 2017","Jun 14, 2017",Despicable Me 3,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000.0,4529.0,4535.0,35489.0,72434025.0,264624300.0,270229490.0,767972594.0,1032596894.0,tt3469046
1535,"Nov 22, 2017","Oct 27, 2017",Coco,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,175000000.0,3987.0,3987.0,30754.0,50802605.0,210460015.0,214433264.0,587777582.0,798237597.0,tt10453328
1536,"Feb 10, 2017","Feb 2, 2017",The Lego Batman Movie,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,80000000.0,4088.0,4088.0,26629.0,53003468.0,175750384.0,179473080.0,134820176.0,310570560.0,tt4116284
1537,"Mar 31, 2017","Mar 17, 2017",The Boss Baby,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,125000000.0,3773.0,3829.0,31488.0,50198902.0,175003033.0,178709896.0,352962903.0,527965936.0,tt3874544
1538,"Dec 20, 2017","Dec 11, 2017",The Greatest Showman,20th Century Fox,Musical,Based on Real Life Events,Live Action,Dramatization,84000000.0,3006.0,3342.0,32236.0,8805843.0,174340174.0,176066586.0,260133079.0,434473253.0,tt1485796
1539,"Nov 17, 2017","Oct 17, 2017",Wonder,Lionsgate,Drama,Based on Factual Book/Article,Live Action,Dramatization,20000000.0,3096.0,3519.0,22931.0,27547866.0,132422809.0,135057266.0,180332406.0,312755215.0,tt2543472
1540,"Jul 28, 2017","Jul 26, 2017",The Emoji Movie,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,50000000.0,4075.0,4075.0,23453.0,24531923.0,86089513.0,87913036.0,130475327.0,216564840.0,tt4877122
1541,"Dec 15, 2017","Dec 8, 2017",Ferdinand,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,111000000.0,3621.0,3630.0,21453.0,13401586.0,84410380.0,85713976.0,205428533.0,289838913.0,tt3411444
1542,"Jun 2, 2017","Jun 2, 2017",Captain Underpants: The First Epic Movie,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,38000000.0,3434.0,3529.0,16236.0,23851539.0,73921000.0,75486772.0,52501949.0,126422949.0,tt2091256
1543,"Jan 27, 2017","Jan 20, 2017",A Dog's Purpose,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000.0,3059.0,3178.0,18021.0,18222810.0,64321890.0,65684336.0,138733537.0,203055427.0,tt1753383
1544,"Sep 22, 2017","Sep 15, 2017",The Lego Ninjago Movie,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,70000000.0,4047.0,4047.0,20687.0,20433071.0,59281555.0,60537240.0,63455646.0,122737201.0,tt3014284
1545,"Apr 7, 2017","Mar 24, 2017",Smurfs: The Lost Village,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,60000000.0,3610.0,3610.0,18099.0,13210449.0,45020282.0,45973893.0,152558304.0,197578586.0,tt2398241
1546,"Nov 17, 2017","Nov 15, 2017",The Star,Sony Pictures,Adventure,Based on Religious Text,Digital Animation,Kids Fiction,20000000.0,2837.0,2976.0,15954.0,9812674.0,40847995.0,41699352.0,21910015.0,62758010.0,tt4587656
1547,"Aug 11, 2017","Aug 11, 2017",The Nut Job 2: Nutty by Nature,Open Road,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,40000000.0,4003.0,4003.0,16169.0,8342311.0,28370522.0,28971450.0,29067867.0,57438389.0,tt3486626
1548,"Oct 6, 2017","Oct 5, 2017",My Little Pony: The Movie,Lionsgate,Adventure,Based on Toy,Digital Animation,Kids Fiction,6500000.0,2528.0,2528.0,11014.0,8885899.0,21885107.0,22348669.0,39409537.0,61294644.0,tt4131800
1549,"Aug 25, 2017","Dec 16, 2016",Ballerina,Weinstein Co.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,30000000.0,2575.0,2705.0,13599.0,4730038.0,21858070.0,22321061.0,75032724.0,96890794.0,tt2560702
1550,"May 19, 2017","May 19, 2017",Diary of a Wimpy Kid: The Long Haul,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,22000000.0,3157.0,3174.0,10137.0,7126084.0,20738724.0,21178002.0,14870853.0,35609577.0,tt6003368
1551,"Apr 7, 2017","Apr 7, 2017",The Case for Christ,Pure Flix Entertainment,Drama,Based on Real Life Events,Live Action,Dramatization,3000000.0,1174.0,1386.0,5990.0,3967885.0,14678714.0,14989626.0,3288046.0,17966760.0,tt6113488
1552,"Feb 24, 2017","Jul 2, 2016",Rock Dog,Lionsgate,Adventure,Original Screenplay,Digital Animation,Kids Fiction,60000000.0,2077.0,2077.0,6335.0,3704749.0,9420546.0,9620088.0,14727942.0,24148488.0,tt2822672
1553,"Aug 25, 2017","Aug 23, 2017",All Saints,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,2000000.0,846.0,846.0,3910.0,1514278.0,5802208.0,5925109.0,146572.0,5948780.0,tt4663548
1554,"Jul 28, 2017","Jul 28, 2017",An Inconvenient Sequel,Paramount Vantage,Documentary,Based on Real Life Events,Live Action,Factual,1000000.0,4.0,556.0,1461.0,124823.0,3496795.0,3570861.0,2342527.0,5839322.0,N/A
1555,"Jan 20, 2017","Jan 20, 2017",The Resurrection of Gavin Stone,High Top Releasing,Comedy,Original Screenplay,Live Action,Contemporary Fiction,2000000.0,890.0,890.0,1887.0,1206771.0,2303792.0,2352581.0,0.0,2303792.0,tt4902904
1556,"Jun 2, 2017","Mar 30, 2017",Churchill,Cohen Media Group,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,215.0,215.0,600.0,408891.0,1279681.0,1306784.0,6302515.0,7582196.0,tt2674454
1557,"Oct 6, 2017","Jun 30, 2017",Visages villages,Cohen Media Group,Documentary,Original Screenplay,Live Action,Factual,1000000.0,5.0,42.0,415.0,31006.0,952432.0,967140.0,3061409.0,4013841.0,N/A
1558,"Jan 20, 2017","Jul 1, 2016",La Tortue Rouge,Sony Pictures Classics,Adventure,Original Screenplay,Digital Animation,Fantasy,11000000.0,3.0,127.0,548.0,21010.0,920057.0,939541.0,5792846.0,6712903.0,N/A
1559,"Sep 26, 2017","Feb 6, 2015","Mune, le gardien de la lune",,Adventure,Original Screenplay,Digital Animation,Kids Fiction,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14534046.0,14534046.0,N/A
1560,"Sep 29, 2017","Oct 30, 2015","Don Gato, el inicio de la pandilla",Viva Entertainment,Adventure,Original Screenplay,Digital Animation,Kids Fiction,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4604656.0,4604656.0,N/A
1561,"Jun 15, 2018","Jun 15, 2018",Incredibles 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4410.0,4413.0,40116.0,182687905.0,608581744.0,611921929.0,634223615.0,1242805359.0,tt3606756
1562,"Nov 9, 2018","Nov 7, 2018",The Grinch,Universal,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,75000000.0,4141.0,4141.0,32061.0,67572855.0,270834950.0,272296416.0,243767477.0,514602427.0,tt2709692
1563,"Nov 21, 2018","Nov 21, 2018",Ralph Breaks the Internet,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,175000000.0,4017.0,4017.0,30648.0,56237634.0,201091711.0,202118881.0,328199119.0,529290830.0,tt5848272
1564,"Dec 14, 2018","Dec 12, 2018",Spider-Man: Into The Spider-Verse,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Super Hero,90000000.0,3813.0,3813.0,32982.0,35363376.0,190173195.0,190908525.0,185481424.0,375654619.0,tt4633694
1565,"Dec 19, 2018","Dec 19, 2018",Mary Poppins Returns,Walt Disney,Musical,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,130000000.0,4090.0,4090.0,24355.0,23523121.0,171958438.0,172720328.0,176942594.0,348901032.0,tt5028340
1566,"Jul 13, 2018","Jun 22, 2018",Hotel Transylvania 3: Summer Vacation,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,65000000.0,4267.0,4267.0,27353.0,44076225.0,167500092.0,168419406.0,359603103.0,527103195.0,tt5220122
1567,"Feb 9, 2018","Feb 8, 2018",Peter Rabbit,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,50000000.0,3725.0,3725.0,27257.0,25010928.0,115234093.0,115866544.0,231493279.0,346727372.0,tt13150474
1568,"Mar 9, 2018","Mar 9, 2018",A Wrinkle in Time,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,103000000.0,3980.0,3980.0,21046.0,33123609.0,100478608.0,101030073.0,32923274.0,133401882.0,tt1620680
1569,"Aug 3, 2018","Aug 3, 2018",Christopher Robin,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,75000000.0,3602.0,3602.0,26260.0,24585139.0,99215042.0,99759572.0,98289716.0,197504758.0,tt4575576
1570,"Mar 16, 2018","Mar 16, 2018",I Can Only Imagine,Roadside Attractions,Drama,Based on Song,Live Action,Dramatization,7000000.0,1627.0,2894.0,16927.0,17108914.0,83482352.0,83940536.0,2301215.0,85783567.0,tt6450186
1571,"Sep 28, 2018","Sep 21, 2018",Smallfoot,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,80000000.0,4131.0,4131.0,23062.0,23045635.0,83240103.0,83695515.0,130441970.0,213682073.0,tt6182908
1572,"Sep 21, 2018","Sep 19, 2018",The House with a Clock in its Walls,Universal,Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,40000000.0,3592.0,3592.0,17634.0,26608020.0,68549695.0,68912558.0,62907452.0,131457147.0,tt2119543
1573,"Jul 13, 2018","Jul 5, 2018",Skyscraper,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,125000000.0,3782.0,3822.0,13761.0,24905015.0,68420120.0,68795640.0,236448841.0,304868961.0,tt5758778
1574,"Nov 2, 2018","Oct 31, 2018",The Nutcracker and the Four Realms,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,132900000.0,3766.0,3766.0,15871.0,20352491.0,54858851.0,55159532.0,115165449.0,170024300.0,tt5523010
1575,"Oct 12, 2018","Oct 10, 2018",Goosebumps 2: Haunted Halloween,Sony Pictures,Horror,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,35000000.0,3521.0,3723.0,16639.0,15802225.0,46697321.0,46953610.0,46594157.0,93291478.0,tt5664636
1576,"Mar 23, 2018","Mar 15, 2018",Sherlock Gnomes,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,59000000.0,3662.0,3662.0,16784.0,10604774.0,43242871.0,43480212.0,44284780.0,87527651.0,tt2296777
1577,"Jul 27, 2018","Jul 27, 2018",Teen Titans Go! To The Movies,Warner Bros.,Adventure,Based on TV,Digital Animation,Kids Fiction,10000000.0,3188.0,3188.0,10071.0,10411189.0,29790236.0,29953740.0,21830357.0,51620593.0,tt7424200
1578,"Jan 19, 2018","Jan 19, 2018",Forever My Girl,Roadside Attractions,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,3500000.0,1114.0,1427.0,6029.0,4245630.0,16376066.0,16465943.0,0.0,16376066.0,tt4103724
1579,"Feb 16, 2018","Jan 26, 2018",Early Man,Lionsgate,Adventure,Original Screenplay,Stop-Motion Animation,Kids Fiction,50000000.0,2494.0,2494.0,6341.0,3190525.0,8267544.0,8312920.0,37018346.0,45285890.0,tt4701724
1580,"Aug 8, 2018","Aug 8, 2018",Dog Days,LD Entertainment,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,10000000.0,2442.0,2442.0,5389.0,2554766.0,6809080.0,6846450.0,1387146.0,8196226.0,tt3548328
1581,"Aug 24, 2018","Aug 16, 2018",A.X.L.,Global Road,Drama,Based on Short Film,Live Action,Science Fiction,10000000.0,1710.0,1710.0,4270.0,2798229.0,6501381.0,6537061.0,1758372.0,8259753.0,N/A
1582,"Dec 28, 2018","Dec 28, 2018",Stan & Ollie,Sony Pictures Classics,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,5.0,754.0,2817.0,78104.0,5470235.0,5471515.0,23592439.0,29062674.0,tt3385524
1583,"Oct 26, 2018","Sep 13, 2018",Johnny English Strikes Again,Focus Features,Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000.0,544.0,552.0,1364.0,1638895.0,4412170.0,4436390.0,154966608.0,159378778.0,tt6921996
1584,"Apr 13, 2018","Apr 13, 2018",Sgt. Stubby: An American Hero,Fun Academy Motion Pictures,Adventure,Based on Real Life Events,Digital Animation,Dramatization,25000000.0,1633.0,1633.0,3418.0,1164403.0,3054285.0,3071046.0,769335.0,3823620.0,tt5314190
1585,"Jul 19, 2019","Jul 11, 2019",The Lion King,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,260000000.0,4725.0,4802.0,40962.0,191770759.0,543638043.0,543638043.0,1110729382.0,1654367425.0,tt6105098
1586,"Nov 22, 2019","Nov 20, 2019",Frozen II,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,150000000.0,4440.0,4440.0,38297.0,130263358.0,477373578.0,477373578.0,969551818.0,1446925396.0,tt4520988
1587,"May 24, 2019","May 22, 2019",Aladdin,Walt Disney,Adventure,Remake,Animation/Live Action,Fantasy,182000000.0,4476.0,4476.0,35706.0,91500929.0,355559216.0,355559216.0,691090490.0,1046649706.0,tt6139732
1588,"Feb 22, 2019","Jan 3, 2019",How to Train Your Dragon: The Hidden World,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,129000000.0,4259.0,4286.0,27530.0,55022245.0,160799505.0,160799505.0,361946858.0,522746363.0,tt2386490
1589,"Jun 7, 2019","May 24, 2019",The Secret Life of Pets 2,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,80000000.0,4561.0,4564.0,25922.0,46652680.0,158874395.0,158874395.0,287398620.0,446273015.0,tt5113040
1590,"May 10, 2019","May 3, 2019",Pokémon Detective Pikachu,Warner Bros.,Adventure,Based on Game,Animation/Live Action,Kids Fiction,150000000.0,4202.0,4248.0,20264.0,54365242.0,144105346.0,144105349.0,287842212.0,431947558.0,tt5884052
1591,"Mar 29, 2019","Mar 27, 2019",Dumbo,Walt Disney,Adventure,Remake,Animation/Live Action,Kids Fiction,170000000.0,4259.0,4259.0,22182.0,45990748.0,114766307.0,114766309.0,238400000.0,353166307.0,tt3861390
1592,"Oct 18, 2019","Oct 17, 2019",Maleficent: Mistress of Evil,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,185000000.0,3790.0,3820.0,21876.0,36948713.0,113929605.0,113929605.0,375416890.0,489346495.0,tt4777008
1593,"Dec 25, 2019","Dec 25, 2019",Little Women,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,42000000.0,3308.0,3308.0,21532.0,16755310.0,108095955.0,108095955.0,110799479.0,218895434.0,tt14693788
1594,"Feb 8, 2019","Feb 6, 2019",The Lego Movie 2: The Second Part,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,99000000.0,4303.0,4303.0,24210.0,34115335.0,105806508.0,105806510.0,84324528.0,190131036.0,tt3513498
1595,"Oct 11, 2019","Oct 11, 2019",The Addams Family,United Artists,Adventure,Based on TV,Digital Animation,Kids Fiction,24000000.0,4007.0,4207.0,25972.0,30300007.0,97864733.0,97864733.0,102747294.0,200612027.0,tt1620981
1596,"Dec 25, 2019","Dec 25, 2019",Spies in Disguise,20th Century Fox,Adventure,Based on Short Film,Digital Animation,Kids Fiction,100000000.0,3502.0,3502.0,15937.0,13354798.0,66757013.0,66757013.0,98381468.0,165138481.0,tt5814534
1597,"Nov 22, 2019","Nov 22, 2019",A Beautiful Day in the Neighborhood,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,45000000.0,3235.0,3491.0,18087.0,13251238.0,61696436.0,61696436.0,6709902.0,68406338.0,tt3224458
1598,"Sep 27, 2019","Sep 19, 2019",Abominable,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000.0,4242.0,4248.0,19825.0,20612100.0,60761390.0,60761390.0,127897801.0,188659191.0,tt10674930
1599,"Aug 9, 2019","Aug 8, 2019",Dora and the Lost City of Gold,Paramount Pictures,Adventure,Based on TV,Live Action,Kids Fiction,49000000.0,3735.0,3735.0,18483.0,17431588.0,60477943.0,60477943.0,56941174.0,117419117.0,tt7547410
1600,"Mar 15, 2019","Mar 15, 2019",Wonder Park,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,100000000.0,3838.0,3838.0,15582.0,15853646.0,45216793.0,45216793.0,69895325.0,115112118.0,tt6428676
1601,"Jan 11, 2019","Jan 9, 2019",A Dog's Way Home,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,61000000.0,3090.0,3090.0,16257.0,11251263.0,41952715.0,41952715.0,39199790.0,81152505.0,tt7616798
1602,"Aug 13, 2019","Aug 2, 2019",The Angry Birds Movie 2,Sony Pictures,Adventure,Based on Game,Digital Animation,Kids Fiction,65000000.0,3869.0,3869.0,16044.0,10354073.0,41657076.0,41657076.0,110361736.0,152018812.0,tt6095472
1603,"Apr 17, 2019","Apr 12, 2019",Breakthrough,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,14000000.0,2824.0,2913.0,13070.0,11282333.0,40713082.0,40713082.0,8518592.0,49231674.0,tt11006500
1604,"Aug 23, 2019","Aug 22, 2019",Overcomer,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,1723.0,2293.0,12429.0,8146533.0,34700142.0,34700142.0,3402846.0,38102988.0,tt8186318
1605,"Jan 16, 2019","Dec 14, 2018",Dragon Ball Super: Broly,FUNimation,Action,Based on TV,Digital Animation,Fantasy,8500000.0,1247.0,1250.0,3000.0,9816197.0,30376755.0,30376755.0,92371000.0,122747755.0,tt7961060
1606,"Dec 20, 2019","Dec 17, 2019",Cats,Universal,Musical,Based on Musical or Opera,Animation/Live Action,Fantasy,100000000.0,3380.0,3380.0,10949.0,6619870.0,27166770.0,27166770.0,48319581.0,75486351.0,tt5697572
1607,"Aug 9, 2019","Aug 9, 2019",The Art of Racing in the Rain,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000.0,2765.0,2765.0,10896.0,8137584.0,26402818.0,26402818.0,4594209.0,30997027.0,tt1478839
1608,"May 17, 2019","May 3, 2019",A Dog's Journey,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,16000000.0,3267.0,3279.0,9710.0,8030085.0,22782371.0,22782371.0,54634407.0,77416778.0,tt8385474
1609,"May 3, 2019","May 1, 2019",UglyDolls,STX Entertainment,Adventure,Based on Toy,Digital Animation,Kids Fiction,45000000.0,3652.0,3652.0,11234.0,8603407.0,20150241.0,20150241.0,8212905.0,28363146.0,tt1946502
1610,"Jul 12, 2019","Jul 12, 2019",The Farewell,A24,Drama,Based on Real Life Events,Live Action,Dramatization,3000000.0,4.0,861.0,4789.0,351330.0,17700478.0,17700478.0,4800209.0,22500687.0,tt14431560
1611,"Jan 25, 2019","Jan 18, 2019",The Kid Who Would Be King,20th Century Fox,Adventure,Original Screenplay,Live Action,Fantasy,59000000.0,3521.0,3528.0,9832.0,7173887.0,16790790.0,16790790.0,11506193.0,28296983.0,tt6811018
1612,"Feb 22, 2019","Feb 22, 2019",Run the Race,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,1500000.0,853.0,1075.0,3722.0,2161480.0,6424420.0,6424420.0,0.0,6424420.0,tt3201736
1613,"Nov 1, 2019","Nov 1, 2019",Arctic Dogs,Entertainment Studios Motion Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,50000000.0,2844.0,2844.0,6145.0,2901335.0,5801249.0,5801249.0,3892863.0,9694112.0,tt4426464
1614,"Dec 6, 2019","Aug 7, 2019",PLAYMOBIL,STX Entertainment,Adventure,Based on Toy,Animation/Live Action,Kids Fiction,75000000.0,2337.0,2337.0,3911.0,656530.0,1115008.0,1115008.0,15173023.0,16288031.0,N/A
1615,"Mar 15, 2019","Mar 15, 2019",Nancy Drew and the Hidden Staircase,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,17000000.0,1.0,0.0,0.0,0.0,623088.0,623088.0,1443.0,624531.0,tt8323104
1616,"Nov 8, 2019","Nov 8, 2019",Klaus,Netflix,Adventure,Original Screenplay,Digital Animation,Kids Fiction,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
1617,"Feb 14, 2020","Feb 13, 2020",Sonic The Hedgehog,Paramount Pictures,Adventure,Based on Game,Animation/Live Action,Kids Fiction,90000000.0,4167.0,4198.0,19300.0,58018348.0,146066470.0,146066470.0,158895211.0,304961681.0,tt3794354
1618,"Jan 17, 2020","Jan 8, 2020",Dolittle,Universal,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,175000000.0,4155.0,4155.0,23076.0,21844045.0,77047065.0,77047065.0,174339983.0,251387048.0,tt6673612
1619,"Feb 21, 2020","Jan 3, 2020",The Call of the Wild,20th Century Studios,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,125000000.0,3752.0,3914.0,14732.0,24791624.0,62342368.0,62342368.0,45018568.0,107360936.0,tt7504726
1620,"Mar 6, 2020","Feb 28, 2020",Onward,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000.0,4310.0,4310.0,8620.0,39119861.0,61555145.0,61555145.0,71780914.0,133336059.0,tt7146812
1621,"Nov 25, 2020","Nov 25, 2020",The Croods: A New Age,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,65000000.0,2211.0,2211.0,45448.0,9724200.0,58568815.0,58568815.0,153743000.0,212311815.0,tt2850386
1622,"Oct 9, 2020","Aug 28, 2020",The War with Grandpa,101 Studios,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,38000000.0,2250.0,2365.0,28177.0,3623880.0,21277892.0,21277892.0,18923580.0,40201472.0,tt4532038
1623,"Mar 13, 2020","Mar 11, 2020",I Still Believe,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,12000000.0,3250.0,3250.0,4725.0,9103614.0,10410004.0,10410004.0,5952876.0,16362880.0,tt9779516
1624,"Feb 21, 2020","Feb 13, 2020",Emma.,Focus Features,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,10000000.0,5.0,1732.0,3399.0,234482.0,10055355.0,10055355.0,16388296.0,26443651.0,tt9214832
1625,"Aug 28, 2020","Jan 24, 2020",The Personal History of David Copperfield,Searchlight Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,15600000.0,1360.0,1550.0,6074.0,475800.0,1876298.0,1876298.0,11334973.0,13211271.0,N/A
1626,"Feb 7, 2020","Feb 7, 2020",Timmy Failure: Mistakes Were Made,,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,40000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
1627,"Jun 12, 2020","Jun 12, 2020",Artemis Fowl,,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A
1628,"Feb 7, 2014","Feb 6, 2014",The Lego Movie,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,60000000.0,3775.0,3890.0,32540.0,69050279.0,257784718.0,289021789.0,210300000.0,468084718.0,tt1490017
1629,"May 30, 2014","May 28, 2014",Maleficent,Walt Disney,Adventure,Spin-Off,Live Action,Fantasy,180000000.0,3948.0,3948.0,29061.0,69431298.0,241407328.0,270659863.0,517129407.0,758536735.0,tt1587310
1630,"Nov 7, 2014","Oct 25, 2014",Big Hero 6,Walt Disney,Adventure,Original Screenplay,Digital Animation,Super Hero,165000000.0,3761.0,3773.0,32851.0,56215889.0,222527828.0,249101171.0,427129579.0,649657407.0,tt2245084
1631,"Jun 13, 2014","Jun 5, 2014",How to Train Your Dragon 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,145000000.0,4253.0,4268.0,28175.0,49451322.0,177002924.0,198451253.0,437583346.0,614586270.0,tt1646971
1632,"Dec 25, 2014","Dec 25, 2014",Into the Woods,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,56200000.0,2440.0,2833.0,16910.0,31051923.0,128002372.0,142229088.0,84718770.0,212721142.0,tt2180411
1633,"Dec 19, 2014","Dec 18, 2014",Night at the Museum: Secret of the Tomb,20th Century Fox,Adventure,Original Screenplay,Animation/Live Action,Fantasy,127000000.0,3785.0,3914.0,22470.0,17100520.0,113746621.0,125994811.0,240010000.0,353756621.0,tt2692250
1634,"Mar 7, 2014","Feb 20, 2014",Mr. Peabody & Sherman,20th Century Fox,Adventure,Based on TV,Digital Animation,Kids Fiction,145000000.0,3934.0,3951.0,23555.0,32207057.0,111506430.0,125018217.0,158300000.0,269806430.0,tt0864835
1635,"Apr 16, 2014","Apr 16, 2014",Heaven Is for Real,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,12000000.0,2417.0,3048.0,18618.0,22522221.0,91386097.0,102459803.0,9527459.0,100913556.0,tt1929263
1636,"Dec 19, 2014","Dec 18, 2014",Annie,Sony Pictures,Musical,Remake,Live Action,Contemporary Fiction,65000000.0,3116.0,3197.0,16131.0,15861939.0,85911262.0,95320160.0,53918363.0,139829625.0,tt1823664
1637,"Nov 26, 2014","Nov 26, 2014",Penguins of Madagascar,20th Century Fox,Adventure,Spin-Off,Digital Animation,Kids Fiction,132000000.0,3764.0,3775.0,21146.0,25447444.0,83350911.0,93128575.0,283591620.0,366942531.0,tt1911658
1638,"Oct 10, 2014","Oct 10, 2014","Alexander and the Terrible, Horrible, No Good, Very Bad Day",Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,28000000.0,3088.0,3176.0,19460.0,18360230.0,66954149.0,75035450.0,34425138.0,101379287.0,tt1698641
1639,"Jan 17, 2014","Jan 17, 2014",The Nut Job,Open Road,Adventure,Based on Short Film,Digital Animation,Kids Fiction,30000000.0,3427.0,3472.0,19812.0,19405000.0,64251538.0,72037217.0,58278428.0,122529966.0,tt1821658
