,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
275,"Feb 8, 2019","Feb 6, 2019",The Lego Movie 2: The Second Part,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,99000000,4303,4303,24210,34115335,105806508,105806510,84324528,190131036,tt3513498,2019-02-08 00:00:00,2019,1
227,"Sep 22, 2017","Sep 15, 2017",The Lego Ninjago Movie,Warner Bros.,Adventure,Based on Toy,Digital Animation,Kids Fiction,70000000,4047,4047,20687,20433071,59281555,60537240,63455646,122737201,tt3014284,2017-09-22 00:00:00,2017,1
341,"Apr 23, 2010","Apr 23, 2010",The Losers,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,25000000,2936,2936,9655,9406348,23591432,27388785,6272408,29863840,tt0480255,2010-04-23 00:00:00,2010,0
473,"Apr 20, 2012","Apr 19, 2012",The Lucky One,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000,3155,3175,16380,22518358,60457138,69571272,36176695,96633833,tt1327194,2012-04-20 00:00:00,2012,0
688,"Aug 14, 2015","Aug 12, 2015",The Man from U.N.C.L.E.,Warner Bros.,Action,Based on TV,Live Action,Historical Fiction,75000000,3638,3673,15553,13421036,45445109,49380442,63072626,108517735,tt1638355,2015-08-14 00:00:00,2015,0
892,"Aug 10, 2018","Aug 9, 2018",The Meg,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,178000000,4118,4118,26742,45402195,145443742,146242011,381926973,527370715,tt4779682,2018-08-10 00:00:00,2018,0
1642,"Dec 14, 2018","Dec 14, 2018",The Mule,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,50000000,2588,3329,21063,17509431,103804407,104249942,69649587,173453994,tt0804509,2018-12-14 00:00:00,2018,0
1557,"May 20, 2016","May 19, 2016",The Nice Guys,Warner Bros.,Black Comedy,Original Screenplay,Live Action,Historical Fiction,50000000,2865,2865,10318,11203270,36261763,38399737,23334984,59596747,tt3799694,2016-05-20 00:00:00,2016,0
1641,"Sep 7, 2018","Sep 6, 2018",The Nun,Warner Bros.,Horror,Spin-Off,Live Action,Contemporary Fiction,22000000,3876,3876,19699,53807379,117450119,118094741,245941528,363391647,tt2215221,2018-09-07 00:00:00,2018,0
412,"Jan 28, 2011","Jan 28, 2011",The Rite,Warner Bros.,Horror,Based on Factual Book/Article,Live Action,Dramatization,37000000,2985,2985,10485,14789393,33047633,38173558,64096354,97143987,tt1161864,2011-01-28 00:00:00,2011,0
