,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
983,"Oct 25, 2019","Jul 17, 2019",The Current War: Director's Cut,101 Studios,Drama,Based on Real Life Events,Live Action,Dramatization,30000000,1022,1082,2828,2633717,5978673,5978673,6889879,12868552,tt2140507,2019-10-25 00:00:00,2019,0
1326,"Feb 14, 2013","Feb 6, 2013",A Good Day to Die Hard,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,92000000,3553,3555,14076,24834845,67349198,75881751,236900000,304249198,tt1606378,2013-02-14 00:00:00,2013,1
1245,"Jun 22, 2012","Jun 20, 2012",Abraham Lincoln: Vampire Hunter,20th Century Fox,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,67500000,3108,3109,9577,16306974,37519139,43175284,99970591,137489730,tt1611224,2012-06-22 00:00:00,2012,0
960,"Sep 20, 2019","Sep 19, 2019",Ad Astra,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000,3460,3460,13219,19001398,50188370,50188370,85243649,135432019,tt2935510,2019-09-20 00:00:00,2019,0
1583,"May 19, 2017","May 4, 2017",Alien: Covenant,20th Century Fox,Horror,Original Screenplay,Live Action,Science Fiction,97000000,3761,3772,13537,36160621,74262031,75835026,164259216,238521247,tt2316204,2017-05-19 00:00:00,2017,1
953,"Feb 14, 2019","Feb 1, 2019",Alita: Battle Angel,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Science Fiction,170000000,3790,3802,18635,28525613,85838210,85838210,316061830,401900040,tt0437086,2019-02-14 00:00:00,2019,0
6,"Dec 16, 2011","Dec 14, 2011",Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000,3723,3734,24878,23244744,133107389,153599799,215981134,349088523,tt1615918,2011-12-16 00:00:00,2011,1
171,"Dec 18, 2015","Dec 18, 2015",Alvin and the Chipmunks: The Road Chip,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,90000000,3653,3705,19912,14287159,85886987,92486715,163630969,249517956,tt2974918,2015-12-18 00:00:00,2015,1
764,"Dec 21, 2016","Dec 21, 2016",Assassin's Creed,20th Century Fox,Action,Based on Game,Live Action,Science Fiction,125000000,2970,2996,10601,10278225,54647948,57181172,186111734,240759682,tt2094766,2016-12-21 00:00:00,2016,1
1674,"Oct 12, 2018","Sep 27, 2018",Bad Times at the El Royale,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,32000000,2808,2808,8016,7132647,17839115,17937020,13339827,31178942,tt6628394,2018-10-12 00:00:00,2018,0
403,"Feb 18, 2011","Feb 18, 2011","Big Mommas: Like Father, Like Son",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,32000000,2821,2821,10008,16300803,37915414,43796369,44417036,82332450,tt1464174,2011-02-18 00:00:00,2011,0
130,"Nov 27, 2013","Nov 27, 2013",Black Nativity,20th Century Fox,Musical,Based on Play,Live Action,Fantasy,17500000,1516,1525,3418,3669530,7018188,7907288,435996,7454184,tt1425922,2013-11-27 00:00:00,2013,0
886,"Nov 2, 2018","Oct 26, 2018",Bohemian Rhapsody,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,55000000,4000,4000,35008,51061119,216303339,217345118,675169660,891472999,tt1727824,2018-11-02 00:00:00,2018,0
284,"Apr 17, 2019","Apr 12, 2019",Breakthrough,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,14000000,2824,2913,13070,11282333,40713082,40713082,8518592,49231674,tt11006500,2019-04-17 00:00:00,2019,0
1334,"Jan 18, 2013","Jan 18, 2013",Broken City,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,35000000,2620,2622,8146,8268908,19701164,22197126,17413813,37114977,tt1235522,2013-01-18 00:00:00,2013,0
225,"Jun 2, 2017","Jun 2, 2017",Captain Underpants: The First Epic Movie,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,38000000,3434,3529,16236,23851539,73921000,75486772,52501949,126422949,tt2091256,2017-06-02 00:00:00,2017,0
113,"Oct 26, 2012","Oct 25, 2012",Chasing Mavericks,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,20000000,2002,2030,5042,2268274,6002756,6907071,2298065,8300821,tt1629757,2012-10-26 00:00:00,2012,0
471,"Feb 3, 2012","Feb 2, 2012",Chronicle,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,12000000,2907,2908,13597,22004098,64575175,74310124,59106615,123681790,tt1706593,2012-02-03 00:00:00,2012,0
310,"Apr 9, 2010","Apr 9, 2010",Date Night,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,55000000,3374,3380,23993,25207599,98711404,114600311,53557629,152269033,tt1279935,2010-04-09 00:00:00,2010,0
599,"Jul 11, 2014","Jul 9, 2014",Dawn of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,170000000,3967,3969,21830,72611427,208545589,233816099,502098977,710644566,tt2103281,2014-07-11 00:00:00,2014,1
1543,"Feb 12, 2016","Feb 9, 2016",Deadpool,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,58000000,3558,3856,29582,132434639,363070709,384477187,421086402,784157111,tt1431045,2016-02-12 00:00:00,2016,1
883,"May 18, 2018","May 11, 2018",Deadpool 2,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,110000000,4349,4349,30786,125507153,324591735,326372815,461770635,786362370,tt5463162,2018-05-18 00:00:00,2018,1
1363,"Jan 17, 2014","Jan 17, 2014",Devil's Due,20th Century Fox,Horror,Original Screenplay,Live Action,Fantasy,7000000,2544,2544,7059,8308220,15821461,17738624,20324626,36146087,tt2752758,2014-01-17 00:00:00,2014,0
45,"Mar 19, 2010","Mar 19, 2010",Diary of a Wimpy Kid,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,15000000,3077,3083,19018,22126166,64003625,74305856,12950686,76954311,tt1196141,2010-03-19 00:00:00,2010,1
104,"Aug 3, 2012","Aug 3, 2012",Diary of a Wimpy Kid: Dog Days,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,22000000,3391,3401,16072,14623599,49008662,56396902,28221033,77229695,tt2023453,2012-08-03 00:00:00,2012,1
52,"Mar 25, 2011","Mar 25, 2011",Diary of a Wimpy Kid: Rodrick Rules,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000,3167,3169,14111,23751502,52698535,60872459,20996659,73695194,tt1650043,2011-03-25 00:00:00,2011,1
233,"May 19, 2017","May 19, 2017",Diary of a Wimpy Kid: The Long Haul,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,22000000,3157,3174,10137,7126084,20738724,21178002,14870853,35609577,tt6003368,2017-05-19 00:00:00,2017,1
787,"Feb 26, 2016","Feb 26, 2016",Eddie the Eagle,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,23000000,2042,2044,7193,6084682,15789389,16720316,29271091,45060480,tt1083452,2016-02-26 00:00:00,2016,0
1540,"Mar 18, 2016","Aug 13, 2015",El Clan,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,5500000,3,19,58,12519,201227,213089,21923875,22125102,tt2113658,2016-03-18 00:00:00,2016,0
120,"May 24, 2013","May 24, 2013",Epic,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,100000000,3882,3894,19604,33531068,107518682,121140359,155275759,262794441,tt0848537,2013-05-24 00:00:00,2013,0
618,"Dec 12, 2014","Dec 5, 2014",Exodus: Gods and Kings,20th Century Fox,Drama,Based on Religious Text,Live Action,Historical Fiction,140000000,3503,3503,14235,24115934,65014513,72571492,203300000,268314513,tt1528100,2014-12-12 00:00:00,2014,0
682,"Aug 7, 2015","Aug 5, 2015",Fantastic Four,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,120000000,3995,4004,14869,25685737,56117548,60977076,111731639,167849187,tt1502712,2015-08-07 00:00:00,2015,1
224,"Dec 15, 2017","Dec 8, 2017",Ferdinand,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,111000000,3621,3630,21453,13401586,84410380,85713976,205428533,289838913,tt3411444,2017-12-15 00:00:00,2017,0
949,"Nov 15, 2019","Nov 14, 2019",Ford v Ferrari,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,97600000,3528,3746,25166,31474958,117624357,117624357,106794391,224418748,tt1950186,2019-11-15 00:00:00,2019,0
69,"Aug 12, 2011","Aug 12, 2011",Glee: The 3D Concert Movie,20th Century Fox,Concert/Performance,Based on TV,Live Action,Factual,9000000,2040,2040,4341,5961231,11862398,13702343,5600000,17462398,tt1922612,2011-08-12 00:00:00,2011,0
1397,"Oct 3, 2014","Oct 3, 2014",Gone Girl,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,61000000,3014,3284,26324,37513109,167767189,188042104,199393592,367160781,tt2267998,2014-10-03 00:00:00,2014,0
56,"Dec 25, 2010","Dec 24, 2010",Gulliver's Travels,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,112000000,2546,3089,13636,6307691,42779261,49575413,189238587,232017848,tt1320261,2010-12-25 00:00:00,2010,0
194,"Dec 25, 2016","Dec 25, 2016",Hidden Figures,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,25000000,25,3416,29233,515499,169607287,173274920,62164429,231771716,tt4846340,2016-12-25 00:00:00,2016,0
1482,"Aug 21, 2015","Aug 19, 2015",Hitman: Agent 47,20th Century Fox,Action,Based on Game,Live Action,Contemporary Fiction,35000000,3261,3273,10384,8326530,22467450,24413030,59715353,82182803,tt2679042,2015-08-21 00:00:00,2015,0
166,"Mar 27, 2015","Mar 19, 2015",Home,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,130000000,3708,3801,31486,52107731,177397510,192759330,208600386,385997896,tt10353704,2015-03-27 00:00:00,2015,0
138,"Jun 13, 2014","Jun 5, 2014",How to Train Your Dragon 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,145000000,4253,4268,28175,49451322,177002924,198451253,437583346,614586270,tt1646971,2014-06-13 00:00:00,2014,1
201,"Jul 22, 2016","Jul 1, 2016",Ice Age: Collision Course,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,105000000,3992,3997,15400,21373064,64063008,67840132,338093674,402156682,tt3416828,2016-07-22 00:00:00,2016,1
95,"Jul 13, 2012","Jun 27, 2012",Ice Age: Continental Drift,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,95000000,3881,3886,27365,46629259,161321843,185638877,718443294,879765137,tt1667889,2012-07-13 00:00:00,2012,1
405,"Oct 28, 2011","Oct 28, 2011",In Time,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,35000000,3122,3127,12413,12050368,37553932,43376731,127550020,165103952,tt1637688,2011-10-28 00:00:00,2011,0
746,"Jun 24, 2016","Jun 22, 2016",Independence Day: Resurgence,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,165000000,4068,4091,15489,41039944,103144286,109225617,281025138,384169424,tt1628841,2016-06-24 00:00:00,2016,1
681,"Dec 25, 2015","Dec 24, 2015",Joy,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,60000000,2896,2924,12291,17015168,56451232,60561945,44682827,101134059,tt12370358,2015-12-25 00:00:00,2015,0
788,"Oct 21, 2016","Oct 20, 2016",Keeping Up with the Joneses,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,3022,3022,8163,5461475,14904426,15783184,13900000,28804426,tt11122462,2016-10-21 00:00:00,2016,0
1579,"Sep 22, 2017","Sep 19, 2017",Kingsman: The Golden Circle,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,104000000,4003,4038,20465,39023010,100234838,102357861,308568858,408803696,tt4649466,2017-09-22 00:00:00,2017,1
1471,"Feb 13, 2015","Jan 29, 2015",Kingsman: The Secret Service,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,94000000,3204,3282,24227,36206331,128261724,139368612,276300000,404561724,tt2802144,2015-02-13 00:00:00,2015,1
318,"Jun 23, 2010","Jun 23, 2010",Knight and Day,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,117000000,3098,3104,14364,20139985,76423035,88724337,182328335,258751370,tt1013743,2010-06-23 00:00:00,2010,0
196,"Jan 29, 2016","Jan 23, 2016",Kung Fu Panda 3,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,140000000,3955,3987,26899,41282042,143528619,151990991,377642206,521170825,tt2267968,2016-01-29 00:00:00,2016,1
1340,"Aug 13, 2014","Aug 13, 2014",Let's Be Cops,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,17000000,3094,3140,20658,17813722,82390774,92374478,54500000,136890774,tt1924435,2014-08-13 00:00:00,2014,0
97,"Nov 21, 2012","Nov 21, 2012",Life of Pi,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,120000000,2927,2946,25190,22451514,124987022,143012414,494323346,619310368,tt0454876,2012-11-21 00:00:00,2012,0
1573,"Mar 3, 2017","Feb 23, 2017",Logan,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,127000000,4071,4071,23365,88411916,226277068,231070004,387925247,614202315,tt1483010,2017-03-03 00:00:00,2017,1
1001,"Nov 24, 2010","Nov 24, 2010",Love & Other Drugs,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,30000000,2455,2458,9374,9739161,32367005,37570464,70349316,102716321,tt0758752,2010-11-24 00:00:00,2010,0
914,"Mar 16, 2018","Mar 16, 2018","Love, Simon",20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,10000000,2402,2434,10189,11756244,40826341,41050412,24694292,65520633,tt5164432,2018-03-16 00:00:00,2018,0
1005,"Sep 3, 2010","Sep 3, 2010",Machete,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,12500000,2670,2678,8468,11416164,26593646,30874247,19777324,46370970,tt0985694,2010-09-03 00:00:00,2010,0
58,"Jun 4, 2010","Jun 4, 2010",Marmaduke,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,50000000,3213,3213,12225,11599661,33644788,39060365,56251142,89895930,tt1392197,2010-06-04 00:00:00,2010,0
906,"Jan 26, 2018","Jan 17, 2018",Maze Runner: The Death Cure,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,61000000,3787,3793,14684,24167011,58032443,58350950,207846093,265878536,tt4500922,2018-01-26 00:00:00,2018,1
675,"Sep 18, 2015","Sep 9, 2015",Maze Runner: The Scorch Trials,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,61000000,3791,3792,19348,30316510,81697192,88769954,228868970,310566162,tt4046784,2015-09-18 00:00:00,2015,1
1554,"Jul 8, 2016","Jul 7, 2016",Mike and Dave Need Wedding Dates,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,33000000,2982,3008,10094,16628170,46009673,48722379,29888427,75898100,tt2823054,2016-07-08 00:00:00,2016,0
751,"Sep 30, 2016","Sep 21, 2016",Miss Peregrine's Home for Peculiar Children,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,110000000,3522,3835,21544,28871140,87242834,92375385,208744042,295986876,tt1935859,2016-09-30 00:00:00,2016,0
64,"Jul 1, 2011","Jul 1, 2011",Monte Carlo,20th Century Fox,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,2473,2473,7296,7453944,23186769,26783208,16500000,39686769,tt1067774,2011-07-01 00:00:00,2011,0
1523,"Sep 2, 2016","Sep 2, 2016",Morgan,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,8000000,2020,2020,4192,2012709,3915251,4146091,3383535,7298786,tt1943765,2016-09-02 00:00:00,2016,0
141,"Mar 7, 2014","Feb 20, 2014",Mr. Peabody & Sherman,20th Century Fox,Adventure,Based on TV,Digital Animation,Kids Fiction,145000000,3934,3951,23555,32207057,111506430,125018217,158300000,269806430,tt0864835,2014-03-07 00:00:00,2014,0
43,"Jun 17, 2011","Jun 17, 2011",Mr. Popper's Penguins,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,55000000,3339,3342,15730,18445355,68224452,78806558,121400000,189624452,tt1396218,2011-06-17 00:00:00,2011,0
828,"Nov 10, 2017","Nov 3, 2017",Murder on the Orient Express,20th Century Fox,Drama,Remake,Live Action,Historical Fiction,55000000,3341,3354,20181,28681472,102826543,104969945,248940604,351767147,tt3402236,2017-11-10 00:00:00,2017,1
140,"Dec 19, 2014","Dec 18, 2014",Night at the Museum: Secret of the Tomb,20th Century Fox,Adventure,Original Screenplay,Animation/Live Action,Fantasy,127000000,3785,3914,22470,17100520,113746621,125994811,240010000,353756621,tt2692250,2014-12-19 00:00:00,2014,1
698,"Jul 24, 2015","Jul 9, 2015",Paper Towns,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,12000000,3031,3031,9241,12650140,32000304,34771387,53450180,85450484,tt3622592,2015-07-24 00:00:00,2015,0
100,"Dec 25, 2012","Dec 25, 2012",Parental Guidance,20th Century Fox,Adventure,Original Screenplay,Live Action,Contemporary Fiction,25000000,3367,3368,18916,14554053,77267296,88315801,43565087,120832383,tt1047540,2012-12-25 00:00:00,2012,0
144,"Nov 26, 2014","Nov 26, 2014",Penguins of Madagascar,20th Century Fox,Adventure,Spin-Off,Digital Animation,Kids Fiction,132000000,3764,3775,21146,25447444,83350911,93128575,283591620,366942531,tt1911658,2014-11-26 00:00:00,2014,1
35,"Feb 12, 2010","Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,95000000,3356,3396,19806,31236067,88768303,103056733,134282571,223050874,tt0814255,2010-02-12 00:00:00,2010,1
124,"Aug 7, 2013","Aug 7, 2013",Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,90000000,3031,3080,20510,14401054,68559554,77245217,132300000,200859554,tt1854564,2013-08-07 00:00:00,2013,1
687,"May 22, 2015","May 20, 2015",Poltergeist,20th Century Fox,Horror,Remake,Live Action,Contemporary Fiction,35000000,3240,3242,10626,22620386,47425125,51531925,48287944,95713069,tt1029360,2015-05-22 00:00:00,2015,0
1078,"Jul 9, 2010","Jul 9, 2010",Predators,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,40000000,2669,2669,9641,24760882,52000688,60370885,75233701,127234389,tt1424381,2010-07-09 00:00:00,2010,1
1233,"Jun 8, 2012","May 30, 2012",Prometheus,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,125000000,3396,3442,14524,51050101,126477084,145543973,275971181,402448265,tt1446714,2012-06-08 00:00:00,2012,1
12,"Jul 23, 2010","Jul 23, 2010",Ramona and Beezus,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,15000000,2719,2719,9738,7810481,26167002,30378929,1302619,27469621,tt0493949,2010-07-23 00:00:00,2010,0
1654,"Mar 2, 2018","Feb 28, 2018",Red Sparrow,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,69000000,3056,3064,11476,16853422,46874505,47131772,99077356,145951861,tt2873282,2018-03-02 00:00:00,2018,0
478,"Jan 20, 2012","Jan 20, 2012",Red Tails,20th Century Fox,Action,Based on Real Life Events,Live Action,Historical Fiction,58000000,2512,2573,11560,18782154,49876377,57395424,489121,50365498,tt0485985,2012-01-20 00:00:00,2012,0
5,"Apr 15, 2011","Apr 8, 2011",Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,90000000,3827,3842,25374,39225962,143619809,165896275,343900000,487519809,tt1436562,2011-04-15 00:00:00,2011,1
7,"Apr 11, 2014","Mar 20, 2014",Rio 2,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,130000000,3948,3975,26391,39327869,131538435,147477603,361307856,492846291,tt2357291,2014-04-11 00:00:00,2014,1
373,"Aug 5, 2011","Aug 5, 2011",Rise of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,93000000,3648,3691,26276,54806191,176760185,204176959,294226015,470986200,tt1318514,2011-08-05 00:00:00,2011,1
805,"Nov 23, 2016","Nov 23, 2016",Rules Don't Apply,20th Century Fox,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,26700000,2382,2386,4990,1589625,3652206,3867535,219242,3871448,tt1974420,2016-11-23 00:00:00,2016,0
1278,"Oct 4, 2013","Sep 26, 2013",Runner Runner,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000,3026,3026,9541,7706712,19316646,21763894,41196034,60512680,tt2364841,2013-10-04 00:00:00,2013,0
1591,"May 12, 2017","May 12, 2017",Snatched,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,42000000,3501,3511,12602,19542248,45852178,46823410,11999999,57852177,tt1245534,2017-05-12 00:00:00,2017,0
619,"Feb 28, 2014","Feb 28, 2014",Son of God,20th Century Fox,Drama,Based on Religious Text,Live Action,Dramatization,22000000,3260,3271,15319,25601865,59700064,66934218,11249729,70949793,tt1805411,2014-02-28 00:00:00,2014,0
277,"Dec 25, 2019","Dec 25, 2019",Spies in Disguise,20th Century Fox,Adventure,Based on Short Film,Digital Animation,Kids Fiction,100000000,3502,3502,15937,13354798,66757013,66757013,98381468,165138481,tt5814534,2019-12-25 00:00:00,2019,0
1472,"Jun 5, 2015","May 21, 2015",Spy,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,3711,3715,21232,29085719,110825712,120422719,121760036,232585748,tt0372538,2015-06-05 00:00:00,2015,0
1739,"Jul 12, 2019","Jul 11, 2019",Stuber,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,16000000,3050,3050,9565,8225384,22370452,22370452,7264317,29634769,tt7734218,2019-07-12 00:00:00,2019,0
1667,"Apr 20, 2018","Apr 20, 2018",Super Troopers 2,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,13500000,2038,2125,8702,15181624,30617396,30785441,958239,31575635,tt0859635,2018-04-20 00:00:00,2018,1
460,"Oct 5, 2012","Sep 27, 2012",Taken 2,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,45000000,3661,3706,24392,49514769,139854287,160924135,237953117,377807404,tt1397280,2012-10-05 00:00:00,2012,1
674,"Jan 9, 2015","Jan 2, 2015",Taken 3,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,48000000,3594,3594,16697,39201657,89256424,96985631,238400000,327656424,tt2446042,2015-01-09 00:00:00,2015,1
317,"Jun 11, 2010","Jun 11, 2010",The A-Team,20th Century Fox,Action,Based on TV,Live Action,Contemporary Fiction,110000000,3535,3544,15489,25669455,77222099,89652016,100019072,177241171,tt0429493,2010-06-11 00:00:00,2010,0
288,"Aug 9, 2019","Aug 9, 2019",The Art of Racing in the Rain,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000,2765,2765,10896,8137584,26402818,26402818,4594209,30997027,tt1478839,2019-08-09 00:00:00,2019,0
74,"Oct 14, 2011","Oct 14, 2011",The Big Year,20th Century Fox,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,41000000,2150,2150,5206,3251884,7204138,8321549,480386,7684524,tt1053810,2011-10-14 00:00:00,2011,0
152,"Oct 17, 2014","Oct 17, 2014",The Book of Life,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,50000000,3071,3113,14265,17005218,50151543,56199980,47500000,97651543,tt2262227,2014-10-17 00:00:00,2014,0
570,"Nov 8, 2013","Nov 8, 2013",The Book Thief,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,19000000,4,1316,6736,105005,21488481,24197661,54598230,76086711,tt0816442,2013-11-08 00:00:00,2013,0
220,"Mar 31, 2017","Mar 17, 2017",The Boss Baby,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,125000000,3773,3829,31488,50198902,175003033,178709896,352962903,527965936,tt3874544,2017-03-31 00:00:00,2017,0
33,"Dec 10, 2010","Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Dawn Treader,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,155000000,3555,3555,21848,24005069,104386950,121087158,313800000,418186950,tt0980970,2010-12-10 00:00:00,2010,1
1281,"Oct 25, 2013","Oct 25, 2013",The Counselor,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,25000000,3044,3044,8015,7842930,16973715,19124056,54035619,71009334,tt2193215,2013-10-25 00:00:00,2013,0
118,"Mar 22, 2013","Mar 15, 2013",The Croods,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000,4046,4065,34796,43639736,187168425,210881025,385900000,573068425,tt0481499,2013-03-22 00:00:00,2013,1
930,"Aug 3, 2018","Aug 3, 2018",The Darkest Minds,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,34000000,3127,3127,7205,5842609,12695691,12765367,25665737,38361428,tt4073790,2018-08-03 00:00:00,2018,0
606,"Jun 6, 2014","Jun 4, 2014",The Fault in Our Stars,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,12000000,3173,3340,17775,48002523,124872350,140003757,182294484,307166834,tt2582846,2014-06-06 00:00:00,2014,0
221,"Dec 20, 2017","Dec 11, 2017",The Greatest Showman,20th Century Fox,Musical,Based on Real Life Events,Live Action,Dramatization,84000000,3006,3342,32236,8805843,174340174,176066586,260133079,434473253,tt1485796,2017-12-20 00:00:00,2017,0
923,"Oct 5, 2018","Oct 5, 2018",The Hate U Give,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,23000000,36,2375,9184,512035,29719483,29882320,5348182,35067665,tt5580266,2018-10-05 00:00:00,2018,0
1315,"Jun 28, 2013","Jun 28, 2013",The Heat,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,43000000,3181,3184,21400,39115043,159581587,179799176,70146187,229727774,tt11067026,2013-06-28 00:00:00,2013,0
554,"Jun 7, 2013","Jun 7, 2013",The Internship,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,58000000,3366,3399,11821,17325307,44672764,50332405,49000000,93672764,tt2234155,2013-06-07 00:00:00,2013,0
292,"Jan 25, 2019","Jan 18, 2019",The Kid Who Would Be King,20th Century Fox,Adventure,Original Screenplay,Live Action,Fantasy,59000000,3521,3528,9832,7173887,16790790,16790790,11506193,28296983,tt6811018,2019-01-25 00:00:00,2019,0
