,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
2054,tt0326065,Rhinoceros Eyes,04-23-2004,Aaron Woodley,0,0,0,0
769,tt3228088,Spark: A Space Tail,05-04-2017,Aaron Woodley,"$196,458",213039.0552,0,0
1022,tt4426464,Arctic Justice,11-01-2019,Aaron Woodley,"$5,801,249",6046061.708,196458,104389.137
1654,tt0902982,The Harimaya Bridge,06-13-2009,Aaron Woolfolk,"$54,473",68265.5636,0,0
1571,tt0080089,It's a World Full of Children,02-08-1980,Aase Schmidt,0,0,0,0
181,tt1489264,Vigilante,11-11-2008,Aash Aaron,0,0,0,0
1926,tt1475569,I.C.U.,11-11-2009,Aash Aaron,0,0,0,0
1106,tt1388394,Daddy Cool,08-07-2009,Aashiq Abu,0,0,0,0
49,tt2363047,22 Female Kottayam,05-03-2012,Aashiq Abu,0,0,0,0
2084,tt3661976,Gangster,04-11-2014,Aashiq Abu,0,0,0,0
1901,tt8941440,Virus,06-07-2019,Aashiq Abu,0,0,0,0
1218,tt3005920,5 Sundarikal,06-22-2013,"Aashiq Abu, Shyju Khalid, Amal Neerad",0,0,0,0
4328,tt14097924,Aanum Pennum,03-26-2021,"Aashiq Abu, Venu Isc, Jay.k",0,0,0,0
72,tt0104605,Khiladi,06-05-1992,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",0,0,0,0
653,tt0106333,Baazigar,11-12-1993,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",0,0,0,0
609,tt0211934,Baadshah,08-27-1999,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","$660,216",966688.2672,0,0
3267,tt0278291,Ajnabee,09-21-2001,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",0,0,660216,771.3424764
1017,tt0418460,Aitraaz,11-12-2004,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","$91,998",124997.6826,660216,1.794377968
2077,tt1017456,Race,03-21-2008,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","$1,367,024",1741998.683,752214,1211.107563
1523,tt1784589,Players,01-06-2012,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",0,0,2119238,70344.80281
2196,tt1375789,Race 2,01-25-2013,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","$1,579,940",1846633.872,2119238,4055.237896
2521,tt1020773,Copie conforme,03-25-2011,Abbas Kiarostami,"$1,373,975",1663883.725,0,0
3097,tt2247063,The Sun Shines on All Equally,04-17-2006,Abbas Rafei,0,0,0,0
1856,tt0446792,Surviving in L.A.,01-20-2016,Abbi Lake O'Neill,0,0,0,0
467,tt1032190,Hubad na pangarap,06-04-1987,Abbo De La Cruz,0,0,0,0
2946,tt0378708,Sariwa,01-04-1996,Abbo De La Cruz,0,0,0,0
2031,tt6791096,I Feel Pretty,04-20-2018,"Abby Kohn, Marc Silverstein","$48,795,601",51884362.54,0,0
3100,tt9348690,Qu'un sang impur...,01-22-2020,Abdel Raouf Dafri,0,0,0,0
3457,tt0184908,Les soeurs Hamlet,02-18-1998,Abdelkrim Bahloul,0,0,0,0
369,tt0348874,Le soleil assassiné,08-18-2004,Abdelkrim Bahloul,0,0,0,0
2474,tt2278871,La vie d'Adèle,10-09-2013,Abdellatif Kechiche,"$2,199,787",2571111.046,0,0
430,tt1997279,Aventura Verde,03-18-2010,Abdiel Colberg,0,0,0,0
1302,tt12561204,Wesh Sojon,10-03-2014,Abdulaziz Hashshad,0,0,0,0
2861,tt13814624,Ami Bachte Chai,11-28-2007,Abdur Razzak,0,0,0,0
396,tt4463120,Down Under,08-11-2016,Abe Forsythe,0,0,0,0
818,tt7390588,Little Monsters,10-11-2019,Abe Forsythe,0,0,0,0
2885,tt0177765,Ya Li ba ba liang ge da dao,02-28-1998,Abe Kwong,0,0,0,0
1557,tt1107319,Dirty Girl,07-07-2011,Abe Sylvia,"$55,125",66756.375,0,0
9,tt6943866,Al Balad De Feha Hokomah,04-16-2008,Abed El Aziz Hashad,0,0,0,0
388,tt0097028,Cat Chaser,10-20-1989,Abel Ferrara,0,0,0,0
2592,tt0099939,King of New York,01-05-1991,Abel Ferrara,"$2,554,476",4171459.308,0,0
4211,tt0103759,Bad Lieutenant,12-17-1992,Abel Ferrara,"$2,000,022",3223835.462,2554476,134.3170584
413,tt0106660,Snake Eyes,11-19-1993,Abel Ferrara,"$23,671",37655.8268,4554498,148.2982693
2567,tt0112288,The Addiction,10-06-1995,Abel Ferrara,"$307,308",475897.1688,4578169,3.548854808
4174,tt0116378,The Funeral,11-01-1996,Abel Ferrara,"$1,227,324",1874737.41,4885477,63.82155185
13,tt0118734,The Blackout,06-11-1997,Abel Ferrara,0,0,6112801,359.1767285
2307,tt0133122,New Rose Hotel,03-19-1999,Abel Ferrara,"$21,521",31511.0482,6112801,0.1404316733
2989,tt0425236,Mary,11-11-2005,Abel Ferrara,0,0,6134322,104.7209144
1870,tt0393329,Go Go Tales,01-07-2011,Abel Ferrara,0,0,6134322,2.958106637
3356,tt2758890,Welcome to New York,03-27-2015,Abel Ferrara,0,0,6134322,0.3480182877
953,tt1881053,Shikari,03-09-2011,Abhaya Simha,0,0,0,0
1806,tt4935836,Dwitiyo Ripu,09-11-2015,Abhijit Chowdhury,0,0,0,0
760,tt5475136,Ebhabeo Phire Asha Jay,11-22-2015,Abhijit Guha,0,0,0,0
3141,tt1418656,Cross Connection,08-15-2009,"Abhijit Guha, Sudeshna Roy",0,0,0,0
1929,tt1737235,Prem by Chance,09-24-2010,"Abhijit Guha, Sudeshna Roy",0,0,0,0
