,tconst,title,released_date,actor,dombox,adj_dombox,CRev,WICAR
970,tt7886614,Cats and Peachtopia,2020-01-24 00:00:00, Nick Guerra,27166770,27166770,0,0
978,tt1946502,UglyDolls,2019-05-03 00:00:00, Nick Jonas,20150241,20150241,0,0
186,tt14456392,You Again,2019-12-02 00:00:00, Nick Mutuma,25702053,29839131,0,0
1608,tt1291584,Warrior,2011-09-09 00:00:00, Nick Nolte,13657115,15775425,0,0
5978,tt1178665,A Walk in the Woods,2015-09-02 00:00:00, Nick Nolte,29499394,32053899,29499394,3441761.198
3470,tt4276820,The Founder,2017-01-20 00:00:00, Nick Offerman,12786053,13056884,0,0
3400,tt5001718,"Everything, Everything",2017-05-19 00:00:00, Nick Robinson,34121140,34843889,0,0
4486,tt1622547,30 Minutes or Less,2011-08-12 00:00:00, Nick Swardson,37053924,42801245,0,0
6589,tt2387589,The Girl on the Train,2014-02-25 00:00:00, Nicki Aycox,75395035,79840291,0,0
171,tt8746404,Marmaduke,2021-06-24 00:00:00, Nickie Bryar,33644788,39060365,0,0
5778,tt1679620,Magkakapatid,2010-07-10 00:00:00, Nico Antonio,42472,47614,0,0
1166,tt4170206,Red,2014-11-10 00:00:00, Nico Antonio,90380162,104922918,90380162,9012810.028
80,tt0938283,The Last Airbender,2010-07-01 00:00:00, Nicola Peltz,131772187,152982662,0,0
2347,tt2109248,Transformers: Age of Extinction,2014-06-27 00:00:00, Nicola Peltz,245439076,275180158,245439076,23637795.58
4206,tt1250777,Kick-Ass,2010-04-16 00:00:00, Nicolas Cage,48071303,55809013,0,0
