,Unnamed: 0,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,primaryTitleLower
865,929,2014,2014,The Monuments Men,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,70000000.0,3083.0,3083.0,18366.0,22003433.0,78031620.0,87487096.0,80671128.0,158702748.0,the monuments men,tt2177771,movie,The Monuments Men,The Monuments Men,2014.0,\N,118,the monuments men
866,930,2014,2014,Hercules,Paramount Pictures,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,100000000.0,3595.0,3595.0,13650.0,29800263.0,72688614.0,81496657.0,170700000.0,243388614.0,hercules,tt1267297,movie,Hercules,Hercules,2014.0,\N,98,hercules
867,931,2014,2014,Hercules,Paramount Pictures,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,100000000.0,3595.0,3595.0,13650.0,29800263.0,72688614.0,81496657.0,170700000.0,243388614.0,hercules,tt3985956,movie,Hercules,Hercules,2014.0,\N,112,hercules
868,932,2014,2014,Think Like a Man Too,Sony Pictures,Romantic Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,24000000.0,2225.0,3049.0,8594.0,29241911.0,65028687.0,72908535.0,4999246.0,70027933.0,think like a man too,tt2239832,movie,Think Like a Man Too,Think Like a Man Too,2014.0,\N,106,think like a man too
869,933,2014,2014,Exodus: Gods and Kings,20th Century Fox,Drama,Based on Religious Text,Live Action,Historical Fiction,140000000.0,3503.0,3503.0,14235.0,24115934.0,65014513.0,72571492.0,203300000.0,268314513.0,exodus: gods and kings,tt1528100,movie,Exodus: Gods and Kings,Exodus: Gods and Kings,2014.0,\N,150,exodus: gods and kings
870,934,2014,2014,Son of God,20th Century Fox,Drama,Based on Religious Text,Live Action,Dramatization,22000000.0,3260.0,3271.0,15319.0,25601865.0,59700064.0,66934218.0,11249729.0,70949793.0,son of god,tt1805411,movie,Son of God,Son of God,2010.0,\N,80,son of god
871,935,2014,2014,Son of God,20th Century Fox,Drama,Based on Religious Text,Live Action,Dramatization,22000000.0,3260.0,3271.0,15319.0,25601865.0,59700064.0,66934218.0,11249729.0,70949793.0,son of god,tt3210686,movie,Son of God,Son of God,2014.0,\N,138,son of god
872,936,2014,2014,RoboCop,Sony Pictures,Action,Remake,Live Action,Science Fiction,120000000.0,3372.0,3372.0,13721.0,21681430.0,58607007.0,65708710.0,184374792.0,242981799.0,robocop,tt1234721,movie,RoboCop,RoboCop,2014.0,\N,117,robocop
873,937,2014,2014,Dracula Untold,Universal,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,70000000.0,2887.0,2900.0,11472.0,23514615.0,55991880.0,62776695.0,164249843.0,220241723.0,dracula untold,tt0829150,movie,Dracula Untold,Dracula Untold,2014.0,\N,92,dracula untold
874,938,2014,2014,No Good Deed,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,13200000.0,2175.0,2175.0,9519.0,24250283.0,52543632.0,58910607.0,1779578.0,54323210.0,no good deed,tt2011159,movie,No Good Deed,No Good Deed,2014.0,\N,84,no good deed
875,939,2014,2014,Ouija,Universal,Horror,Based on Game,Live Action,Contemporary Fiction,5000000.0,2858.0,2899.0,13220.0,19875995.0,50856010.0,57018481.0,52444622.0,103300632.0,ouija,tt1204977,movie,Ouija,Ouija,2014.0,\N,89,ouija
876,940,2014,2014,Jack Ryan: Shadow Recruit,Paramount Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,60000000.0,3387.0,3387.0,14766.0,15451981.0,50577412.0,56706125.0,80800000.0,131377412.0,jack ryan: shadow recruit,tt1205537,movie,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,2014.0,\N,105,jack ryan: shadow recruit
877,941,2014,2014,If I Stay,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,11000000.0,2907.0,3157.0,17086.0,15679190.0,50474843.0,56591130.0,27881327.0,78356170.0,if i stay,tt1355630,movie,If I Stay,If I Stay,2014.0,\N,107,if i stay
878,942,2014,2014,Into the Storm,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,50000000.0,3434.0,3434.0,15085.0,17346427.0,47602194.0,53370383.0,102827177.0,150429371.0,into the storm,tt10449526,movie,Into the Storm,Into the Storm,2019.0,\N,67,into the storm
879,943,2014,2014,Into the Storm,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,50000000.0,3434.0,3434.0,15085.0,17346427.0,47602194.0,53370383.0,102827177.0,150429371.0,into the storm,tt12363760,movie,Into the Storm,En la tormenta,2020.0,\N,84,into the storm
880,944,2014,2014,Into the Storm,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,50000000.0,3434.0,3434.0,15085.0,17346427.0,47602194.0,53370383.0,102827177.0,150429371.0,into the storm,tt2106361,movie,Into the Storm,Into the Storm,2014.0,\N,89,into the storm
881,945,2014,2014,Blended,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,45000000.0,3555.0,3555.0,14592.0,14284031.0,46290741.0,51900020.0,81700000.0,127990741.0,blended,tt1086772,movie,Blended,Blended,2014.0,\N,117,blended
882,946,2014,2014,The Giver,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Science Fiction,25000000.0,3003.0,3003.0,17238.0,12305016.0,45090374.0,50554196.0,21449831.0,66540205.0,the giver,tt0435651,movie,The Giver,The Giver,2014.0,\N,97,the giver
883,947,2014,2014,St. Vincent,Weinstein Co.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,13000000.0,4.0,2552.0,17020.0,109878.0,44137712.0,49463286.0,10699522.0,54837234.0,st. vincent,tt2170593,movie,St. Vincent,St. Vincent,2014.0,\N,102,st. vincent
884,948,2014,2014,Need for Speed,Walt Disney,Action,Based on Game,Live Action,Contemporary Fiction,66000000.0,3115.0,3115.0,12334.0,17844939.0,43568507.0,48847917.0,150601112.0,194169619.0,need for speed,tt2369135,movie,Need for Speed,Need for Speed,2014.0,\N,132,need for speed
885,949,2014,2014,The Expendables 3,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,100000000.0,3221.0,3221.0,13448.0,15879645.0,39322544.0,44087446.0,170138834.0,209461378.0,the expendables 3,tt2333784,movie,The Expendables 3,The Expendables 3,2014.0,\N,126,the expendables 3
886,950,2014,2014,The Theory of Everything,Focus Features,Drama,Based on Factual Book/Article,Live Action,Dramatization,15000000.0,5.0,1220.0,10903.0,208763.0,35893537.0,39858366.0,87434155.0,123327692.0,the theory of everything,tt2980516,movie,The Theory of Everything,The Theory of Everything,2014.0,\N,123,the theory of everything
887,951,2014,2014,3 Days to Kill,Relativity,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,28000000.0,2872.0,2872.0,11265.0,12242218.0,30697999.0,34417830.0,8261901.0,38959900.0,3 days to kill,tt2172934,movie,3 Days to Kill,3 Days to Kill,2014.0,\N,117,3 days to kill
888,952,2014,2014,Get on Up,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,30000000.0,2468.0,2469.0,7595.0,13585915.0,30569935.0,34274247.0,2769933.0,33339868.0,get on up,tt2473602,movie,Get on Up,Get on Up,2014.0,\N,139,get on up
889,953,2014,2014,Draft Day,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,25000000.0,2781.0,2781.0,10795.0,9783603.0,28842237.0,32337191.0,1005243.0,29847480.0,draft day,tt2223990,movie,Draft Day,Draft Day,2014.0,\N,110,draft day
890,954,2014,2014,The Best of Me,Relativity,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,26000000.0,2936.0,2936.0,11060.0,10003827.0,26766213.0,30008691.0,14293205.0,41059418.0,the best of me,tt1972779,movie,The Best of Me,The Best of Me,2014.0,\N,118,the best of me
891,955,2014,2014,Endless Love,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000.0,2896.0,2896.0,8480.0,13307125.0,23438250.0,26278373.0,11279923.0,34718173.0,endless love,tt2318092,movie,Endless Love,Endless Love,2014.0,\N,104,endless love
892,956,2014,2014,Pompeii,Sony Pictures,Action,Original Screenplay,Live Action,Historical Fiction,80000000.0,2658.0,2658.0,8235.0,10340823.0,23169033.0,25976533.0,85300000.0,108469033.0,pompeii,tt1921064,movie,Pompeii,Pompeii,2014.0,\N,105,pompeii
893,957,2014,2014,Transcendence,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,100000000.0,3455.0,3455.0,10008.0,10886386.0,23022309.0,25812037.0,80016949.0,103039258.0,transcendence,tt2202408,movie,Transcendence,Transcendence,2012.0,\N,98,transcendence
894,958,2014,2014,Transcendence,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,100000000.0,3455.0,3455.0,10008.0,10886386.0,23022309.0,25812037.0,80016949.0,103039258.0,transcendence,tt2209764,movie,Transcendence,Transcendence,2014.0,\N,119,transcendence
895,959,2014,2014,Transcendence,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,100000000.0,3455.0,3455.0,10008.0,10886386.0,23022309.0,25812037.0,80016949.0,103039258.0,transcendence,tt2339048,movie,Transcendence,Transcendence,2012.0,\N,45,transcendence
896,960,2014,2014,Brick Mansions,Relativity,Action,Original Screenplay,Live Action,Science Fiction,28000000.0,2647.0,2647.0,8460.0,9516855.0,20396829.0,22868407.0,53024395.0,73421224.0,brick mansions,tt1430612,movie,Brick Mansions,Brick Mansions,2014.0,\N,90,brick mansions
897,961,2014,2014,"I, Frankenstein",Lionsgate,Action,Based on Comic/Graphic Novel,Live Action,Fantasy,65000000.0,2753.0,2753.0,7955.0,8610441.0,19075290.0,21386731.0,55500000.0,74575290.0,"i, frankenstein",tt1418377,movie,"I, Frankenstein","I, Frankenstein",2014.0,\N,92,"i, frankenstein"
898,962,2014,2014,The Legend of Hercules,Lionsgate,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,70000000.0,2104.0,2104.0,6775.0,8868318.0,18848538.0,21132505.0,40104781.0,58953319.0,the legend of hercules,tt1043726,movie,The Legend of Hercules,The Legend of Hercules,2014.0,\N,99,the legend of hercules
899,963,2014,2014,And So It Goes,Clarius Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,18000000.0,1762.0,1816.0,5669.0,4642329.0,15160801.0,16997910.0,2759212.0,17920013.0,and so it goes,tt2465146,movie,And So It Goes,And So It Goes,2014.0,\N,94,and so it goes
900,964,2014,2014,Beyond the Lights,Relativity,Drama,Original Screenplay,Live Action,Contemporary Fiction,7000000.0,1789.0,1789.0,6298.0,6200284.0,14618727.0,16388275.0,0.0,14618727.0,beyond the lights,tt3125324,movie,Beyond the Lights,Beyond the Lights,2014.0,\N,116,beyond the lights
901,965,2014,2014,Big Eyes,Weinstein Co.,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,1307.0,1408.0,4972.0,3001738.0,14482031.0,16079262.0,12835841.0,27317872.0,big eyes,tt1126590,movie,Big Eyes,Big Eyes,2014.0,\N,106,big eyes
902,966,2014,2014,Big Eyes,Weinstein Co.,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,1307.0,1408.0,4972.0,3001738.0,14482031.0,16079262.0,12835841.0,27317872.0,big eyes,tt4317898,movie,Big Eyes,Big Eyes,2014.0,\N,\N,big eyes
903,967,2014,2014,Left Behind,Freestyle Releasing,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,16000000.0,1825.0,1887.0,5433.0,6300146.0,14019924.0,15718780.0,6749285.0,20769209.0,left behind,tt2467046,movie,Left Behind,Left Behind,2014.0,\N,110,left behind
904,968,2014,2014,Labor Day,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000.0,2584.0,2584.0,7483.0,5175282.0,13371528.0,14991815.0,818282.0,14189810.0,labor day,tt14224664,movie,Labor Day,Labor Day,2021.0,\N,100,labor day
905,969,2014,2014,Labor Day,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,18000000.0,2584.0,2584.0,7483.0,5175282.0,13371528.0,14991815.0,818282.0,14189810.0,labor day,tt1967545,movie,Labor Day,Labor Day,2013.0,\N,111,labor day
906,970,2014,2014,Winter's Tale,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,60000000.0,2965.0,2965.0,6996.0,7297694.0,12600231.0,14127056.0,16974802.0,29575033.0,winter's tale,tt1837709,movie,Winter's Tale,Winter's Tale,2014.0,\N,118,winter's tale
907,971,2014,2014,My Old Lady,Cohen Media Group,Comedy,Original Screenplay,Live Action,Contemporary Fiction,5000000.0,11.0,170.0,669.0,124680.0,4011530.0,4497267.0,11208778.0,15220308.0,my old lady,tt2908856,movie,My Old Lady,My Old Lady,2014.0,\N,107,my old lady
908,972,2014,2014,Ida,Music Box Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,2600000.0,3.0,137.0,1090.0,55438.0,3827060.0,4286559.0,11471295.0,15298355.0,ida,tt2718492,movie,Ida,Ida,2013.0,\N,82,ida
