,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
98,2010,2010,Extraordinary Measures,CBS Films,Drama,Based on Real Life Events,Live Action,Dramatization,"$31,000,000","2,545","2,549","6,696","$6,012,594","$12,482,741","$14,491,999","$3,344,243","$15,826,984"
99,2011,2011,Glee: The 3D Concert Movie,20th Century Fox,Concert/Performance,Based on TV,Live Action,Factual,"$9,000,000","2,040","2,040","4,341","$5,961,231","$11,862,398","$13,702,343","$5,600,000","$17,462,398"
100,2011,2011,Hoodwinked Too: Hood vs. Evil,Weinstein Co.,Adventure,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,"$30,000,000","2,505","2,505","7,798","$4,108,630","$10,143,779","$11,717,151","$13,209,332","$23,353,111"
101,2011,2011,Prom,Walt Disney,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$8,000,000","2,730","2,730","7,385","$4,712,638","$10,130,219","$11,701,488","$632,964","$10,763,183"
102,2011,2011,Johnny English Reborn,Universal,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000","1,552","1,554","4,068","$3,833,300","$8,406,711","$9,710,653","$156,233,690","$164,640,401"
103,2011,2011,Elle s'appelait Sarah,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$14,500,000",5,319,"2,702","$115,708","$7,691,700","$8,884,733","$17,788,331","$25,480,031"
104,2011,2011,The Big Year,20th Century Fox,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$41,000,000","2,150","2,150","5,206","$3,251,884","$7,204,138","$8,321,549","$480,386","$7,684,524"
105,2010,2010,Mao's Last Dancer,Samuel Goldwyn Films,Drama,Based on Real Life Events,Live Action,Dramatization,"$18,000,000",33,137,"1,320","$199,657","$4,806,750","$5,580,455","$21,134,687","$25,941,437"
106,2010,2010,Letters to God,Vivendi Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",897,897,"2,433","$1,101,204","$2,848,587","$3,307,099","$388,865","$3,237,452"
107,2011,2011,Everything Must Go,Roadside Attractions,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$5,000,000",218,245,997,"$791,676","$2,712,131","$3,132,793","$108,879","$2,821,010"
108,2010,2010,L'illusionniste,Sony Pictures Classics,Adventure,Original Screenplay,Hand Animation,Historical Fiction,"$17,000,000",3,206,935,"$38,594","$2,231,474","$2,578,302","$6,378,475","$8,609,949"
109,2010,2010,Flipped,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$14,000,000",45,442,"1,148","$224,233","$1,755,212","$2,037,734","$2,539,423","$4,294,635"
110,2010,2010,The Perfect Game,Slowhand Cinema,Drama,Based on Real Life Events,Live Action,Dramatization,"$12,500,000",417,417,831,"$510,000","$1,089,445","$1,264,804","$2,841,922","$3,931,367"
111,2011,2011,Meek's Cutoff,Oscilloscope Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,"$2,000,000",2,45,358,"$20,042","$977,772","$1,129,428","$892,156","$1,869,928"
112,2010,2010,Princess Kaiulani,Roadside Attractions,Drama,Based on Real Life Events,Live Action,Dramatization,"$9,000,000",33,47,223,"$186,995","$883,887","$1,026,158",$0,"$883,887"
113,2010,2010,Standing Ovation,Rocky Mountain Pictures,Musical,Original Screenplay,Live Action,Contemporary Fiction,"$5,600,000",625,625,699,"$343,125","$531,806","$617,402",$0,"$531,806"
114,2010,2010,I Want Your Money,Freestyle Releasing,Documentary,Based on Real Life Events,Live Action,Factual,"$400,000",537,537,768,"$249,428","$433,588","$503,379",$0,"$433,588"
115,2011,2011,The 5th Quarter,Rocky Mountain Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$6,000,000",123,123,242,"$202,342","$408,159","$471,465",$0,"$408,159"
116,2010,2010,Les herbes folles,Sony Pictures Classics,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$14,000,000",5,23,215,"$39,162","$403,952","$468,965","$1,500,000","$1,903,952"
117,2010,2015,Arthur and the War of Two Worlds,,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$45,500,000",0,0,0,$0,"$347,136","$403,003","$35,833,688","$36,180,824"
118,2011,2011,Trolljegeren,Magnet Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$3,500,000",1,21,156,"$5,585","$253,444","$292,754","$5,453,194","$5,706,638"
119,2010,2010,The Nutcracker in 3D,Freestyle Releasing,Musical,Based on Ballet,Animation/Live Action,Kids Fiction,"$90,000,000",45,115,197,"$65,944","$195,459","$226,921","$20,270,557","$20,466,016"
120,2010,2010,"Lovely, Still",Monterey Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",2,17,68,"$4,584","$127,564","$148,090","$155,123","$282,687"
121,2011,2011,Alabama Moon,Faulkner-McLean Entertainment,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$10,000,000",0,5,9,$0,"$47,305","$54,639",$0,"$47,305"
122,2011,2012,Tu Xia Chuan Qi,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$12,000,000",0,0,0,$0,$0,$0,"$1,828,400","$1,828,400"
123,2010,2010,My Girlfriend's Boyfriend,,Romantic Comedy,,Live Action,,"$1,400,000",0,0,0,$0,$0,$0,$0,$0
124,2011,2011,The Lion of Judah,Rocky Mountain Pictures,Adventure,Based on Religious Text,Digital Animation,Kids Fiction,"$1,500,000",0,0,0,$0,$0,$0,$0,$0
125,2010,2010,Konferenz der Tiere,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$30,000,000",0,0,0,$0,$0,$0,"$53,048,539","$53,048,539"
126,2010,2010,The Christmas Bunny,,,,,,"$250,000",0,0,0,$0,$0,$0,$0,$0
127,2011,2011,A Shine of Rainbows,,Drama,,,,"$6,000,000",0,0,0,$0,$0,$0,$0,$0
128,2011,2011,Red Dog,,,,,,"$9,100,000",0,0,0,$0,$0,$0,"$20,927,794","$20,927,794"
129,2010,2010,Rust,,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$250,000",0,0,0,$0,$0,$0,$0,$0
130,2010,2010,Sammy's avonturen: De geheime doorgang,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$25,000,000",0,0,0,$0,$0,$0,"$71,594,792","$71,594,792"
131,2012,2012,Brave,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$185,000,000","4,164","4,164","30,444","$66,323,594","$237,282,182","$273,053,234","$317,324,350","$554,606,532"
132,2012,2012,Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$145,000,000","4,258","4,263","26,837","$60,316,738","$216,391,482","$249,013,308","$530,529,789","$746,921,271"
133,2012,2012,Dr. Seussâ The Lorax,Universal,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$67,500,000","3,729","3,769","29,339","$70,217,070","$214,030,500","$246,296,397","$136,946,253","$350,976,753"
134,2012,2012,Wreck-It Ralph,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$165,000,000","3,752","3,752","32,034","$49,038,712","$189,412,677","$217,704,795","$307,098,844","$496,511,521"
135,2012,2012,Ice Age: Continental Drift,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Fantasy,"$95,000,000","3,881","3,886","27,365","$46,629,259","$161,321,843","$185,638,877","$718,443,294","$879,765,137"
136,2012,2012,Hotel Transylvania,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$85,000,000","3,349","3,384","26,661","$42,522,194","$148,313,048","$170,620,279","$230,346,094","$378,659,142"
137,2012,2012,Life of Pi,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$120,000,000","2,927","2,946","25,190","$22,451,514","$124,987,022","$143,012,414","$494,323,346","$619,310,368"
138,2012,2012,Journey 2: The Mysterious Island,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$79,000,000","3,470","3,500","23,543","$27,335,363","$103,860,290","$119,517,619","$214,285,872","$318,146,162"
139,2012,2012,Rise of the Guardians,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$145,000,000","3,653","3,672","25,021","$23,773,465","$103,412,758","$118,853,785","$203,488,144","$306,900,902"
140,2012,2012,Parental Guidance,20th Century Fox,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000","3,367","3,368","18,916","$14,554,053","$77,267,296","$88,315,801","$43,565,087","$120,832,383"
141,2012,2012,Mirror Mirror,Relativity,Adventure,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,"$85,000,000","3,603","3,618","19,475","$18,132,085","$64,935,167","$74,724,385","$108,678,315","$173,613,482"
142,2012,2012,ParaNorman,Focus Features,Adventure,Original Screenplay,Stop-Motion Animation,Kids Fiction,"$60,000,000","3,429","3,455","20,032","$14,087,050","$56,003,051","$64,445,720","$52,116,611","$108,119,662"
143,2012,2012,The Odd Life of Timothy Green,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000","2,598","2,717","17,941","$10,822,903","$51,853,450","$59,670,328","$3,395,709","$55,249,159"
144,2012,2012,Diary of a Wimpy Kid: Dog Days,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$22,000,000","3,391","3,401","16,072","$14,623,599","$49,008,662","$56,396,902","$28,221,033","$77,229,695"
145,2012,2012,Here Comes the Boom,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$42,000,000","3,014","3,014","17,264","$11,816,596","$45,290,318","$52,089,375","$27,948,940","$73,239,258"
146,2012,2012,The Three Stooges,20th Century Fox,Comedy,Remake,Live Action,Contemporary Fiction,"$30,000,000","3,477","3,482","15,874","$17,010,125","$44,338,224","$51,022,372","$9,714,025","$54,052,249"
147,2012,2012,Frankenweenie,Walt Disney,Adventure,Based on Short Film,Stop-Motion Animation,Fantasy,"$39,000,000","3,005","3,005","12,496","$11,412,213","$35,287,788","$40,599,025","$45,863,000","$81,150,788"
148,2012,2012,2016: Obamaâs America,Rocky Mountain Pictures,Documentary,Based on Factual Book/Article,Live Action,Factual,"$2,500,000",1,"2,017","9,022","$31,610","$33,349,941","$38,377,570",$0,"$33,349,941"
149,2012,2012,The Pirates! Band of Misfits,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Stop-Motion Animation,Kids Fiction,"$55,000,000","3,358","3,358","14,910","$11,137,734","$31,051,126","$35,732,198","$105,092,479","$136,143,605"
150,2012,2012,Katy Perry: Part of Me,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$12,000,000","2,730","2,732","7,876","$7,138,266","$25,326,071","$29,144,070","$7,374,368","$32,700,439"
151,2012,2012,Big Miracle,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,"$40,000,000","2,129","2,133","7,751","$7,760,205","$20,157,300","$23,196,088","$5,111,380","$25,268,680"
152,2012,2012,Cirque du Soleil: Worlds Away,Paramount Pictures,Drama,Original Screenplay,Live Action,Fantasy,"$25,000,000",840,840,"3,385","$2,282,368","$12,512,862","$14,359,885","$15,500,000","$28,012,862"
153,2012,2012,Chasing Mavericks,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,"$20,000,000","2,002","2,030","5,042","$2,268,274","$6,002,756","$6,907,071","$2,298,065","$8,300,821"
154,2012,2012,Won't Back Down,20th Century Fox,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$19,000,000","2,515","2,517","5,881","$2,603,370","$5,310,554","$6,111,140","$434,949","$5,745,503"
155,2012,2012,Foodfight!,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$45,000,000",0,0,0,$0,$0,$0,"$73,706","$73,706"
156,2013,2013,Frozen,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,"$150,000,000",1,"3,742","50,666","$243,390","$400,953,009","$451,149,053","$865,695,311","$1,266,648,320"
