,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
784,2014,2014,Winterâs Tale,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$60,000,000","2,965","2,965","6,996","$7,297,694","$12,600,231","$14,127,056","$16,974,802","$29,575,033"
785,2014,2014,My Old Lady,Cohen Media Group,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",11,170,669,"$124,680","$4,011,530","$4,497,267","$11,208,778","$15,220,308"
786,2014,2014,Ida,Music Box Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$2,600,000",3,137,"1,090","$55,438","$3,827,060","$4,286,559","$11,471,295","$15,298,355"
787,2014,2014,Veronica Mars,Warner Bros.,Drama,Based on TV,Live Action,Contemporary Fiction,"$6,000,000",291,347,960,"$1,988,351","$3,322,127","$3,724,685","$163,256","$3,485,383"
788,2014,2014,50 to 1,Ten Furlongs,Drama,Based on Real Life Events,Live Action,Dramatization,"$10,000,000",19,133,631,"$78,480","$1,069,454","$1,199,044",$0,"$1,069,454"
789,2014,2014,Atlas Shrugged: Who Is John Galt?,Atlas Distribution,Drama,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$5,000,000",242,242,517,"$461,179","$851,690","$954,893",$0,"$851,690"
790,2014,2014,The Signal,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$4,000,000",120,204,554,"$155,642","$600,896","$673,709","$2,064,426","$2,665,322"
791,2014,2014,23 Blast,Abramorama Films,Drama,Based on Real Life Events,Live Action,Dramatization,"$1,000,000",617,617,762,"$337,091","$549,185","$615,726",$0,"$549,185"
792,2014,2013,The Face of Love,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$4,000,000",3,42,122,"$25,800","$385,069","$431,729","$773,808","$1,158,877"
793,2014,2014,Elsa & Fred,Alchemy,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000",0,3,19,$0,"$67,657","$74,920","$130,244","$197,901"
794,2014,2014,Frontera,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$2,300,000",3,14,49,"$10,962","$59,696","$66,923",$0,"$59,696"
795,2014,2014,Doc Hollidayâs Revenge,,Western,Original Screenplay,Live Action,Historical Fiction,"$1,000,000",0,0,0,$0,$0,$0,$0,$0
796,2014,2014,Kurmanjan datka,,Drama,Based on Real Life Events,Live Action,Dramatization,"$1,400,000",0,0,0,$0,$0,$0,$0,$0
797,2014,2015,Destiny,,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$750,000",0,0,0,$0,$0,$0,$450,$450
798,2014,2014,Hidden Away,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$1,000,000",0,0,0,$0,$0,$0,$0,$0
799,2014,2014,Jessabelle,Lionsgate,Horror,Original Screenplay,Live Action,Fantasy,"$10,000,000",0,0,0,$0,$0,$0,"$6,998,359","$6,998,359"
800,2014,2014,40 Weeks,Gathr Films,Documentary,Based on Real Life Events,Live Action,Factual,"$900,000",0,0,0,$0,$0,$0,$0,$0
801,2014,2014,Light from the Darkroom,,,,,,"$600,000",0,0,0,$0,$0,$0,$0,$0
802,2015,2015,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,"$306,000,000","4,134","4,134","37,852","$247,966,675","$936,662,225","$1,012,399,043","$1,127,953,592","$2,064,615,817"
803,2015,2015,Jurassic World,Universal,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$215,000,000","4,274","4,291","36,528","$208,806,270","$652,306,625","$708,790,321","$1,017,673,342","$1,669,979,967"
804,2015,2015,Avengers: Age of Ultron,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$365,000,000","4,276","4,276","30,109","$191,271,109","$459,005,868","$498,753,701","$936,311,111","$1,395,316,979"
805,2015,2015,Furious 7,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,"$190,000,000","4,003","4,022","27,788","$147,163,560","$353,007,020","$383,575,834","$1,163,874,506","$1,516,881,526"
806,2015,2015,The Hunger Games: Mockingjay - Part 2,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$160,000,000","4,175","4,175","25,500","$102,665,981","$281,723,902","$305,911,574","$367,262,885","$648,986,787"
807,2015,2015,The Martian,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$108,000,000","3,831","3,854","31,994","$54,308,575","$228,433,663","$248,129,643","$426,677,875","$655,111,538"
808,2015,2015,Spectre,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$300,000,000","3,929","3,929","23,645","$70,403,148","$200,074,175","$217,317,574","$679,426,585","$879,500,760"
809,2015,2015,Mission: ImpossibleâRogue Nation,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$150,000,000","3,956","3,988","27,828","$55,520,089","$195,042,377","$211,932,163","$493,816,615","$688,858,992"
810,2015,2015,Pitch Perfect 2,Universal,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$29,000,000","3,473","3,660","21,228","$69,216,890","$184,296,230","$200,255,453","$102,918,966","$287,215,196"
811,2015,2015,Ant-Man,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$130,000,000","3,856","3,868","25,916","$57,225,526","$180,202,163","$195,806,853","$338,656,286","$518,858,449"
812,2015,2015,San Andreas,Warner Bros.,Adventure,Original Screenplay,Live Action,Science Fiction,"$110,000,000","3,777","3,812","21,999","$54,588,173","$155,190,832","$168,629,655","$301,067,707","$456,258,539"
813,2015,2015,Daddyâs Home,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000","3,271","3,483","21,404","$38,740,203","$150,357,137","$161,816,850","$91,147,852","$241,504,989"
814,2015,2015,The Divergent Series: Insurgent,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$110,000,000","3,875","3,875","22,954","$52,263,680","$130,179,072","$141,451,990","$164,896,810","$295,075,882"
815,2015,2015,Creed,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000","3,284","3,502","19,042","$29,632,823","$109,767,581","$118,986,028","$63,800,000","$173,567,581"
816,2015,2015,Terminator: Genisys,Paramount Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$155,000,000","3,758","3,783","14,033","$27,018,486","$89,760,956","$97,533,848","$342,389,938","$432,150,894"
817,2015,2015,Taken 3,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$48,000,000","3,594","3,594","16,697","$39,201,657","$89,256,424","$96,985,631","$238,400,000","$327,656,424"
818,2015,2015,Maze Runner: The Scorch Trials,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$61,000,000","3,791","3,792","19,348","$30,316,510","$81,697,192","$88,769,954","$228,868,970","$310,566,162"
819,2015,2015,Pixels,Sony Pictures,Adventure,Based on Short Film,Animation/Live Action,Science Fiction,"$90,000,000","3,723","3,723","19,649","$24,011,616","$78,765,986","$85,586,762","$165,275,818","$244,041,804"
820,2015,2015,The Intern,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000","3,305","3,320","19,850","$17,728,313","$75,764,672","$82,320,306","$121,351,038","$197,115,710"
821,2015,2015,Bridge of Spies,Walt Disney,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,"$40,000,000","2,811","2,873","19,292","$15,371,203","$72,313,754","$78,528,717","$90,184,584","$162,498,338"
822,2015,2015,The Visit,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000","3,069","3,148","15,855","$25,427,560","$65,206,105","$70,852,664","$33,471,711","$98,677,816"
823,2015,2015,The Perfect Guy,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000","2,221","2,230","9,712","$25,888,154","$57,027,435","$61,965,751","$3,250,731","$60,278,166"
824,2015,2015,Joy,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,"$60,000,000","2,896","2,924","12,291","$17,015,168","$56,451,232","$60,561,945","$44,682,827","$101,134,059"
825,2015,2015,Fantastic Four,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$120,000,000","3,995","4,004","14,869","$25,685,737","$56,117,548","$60,977,076","$111,731,639","$167,849,187"
826,2015,2015,Focus,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000","3,323","3,323","14,437","$18,685,137","$53,862,963","$58,527,252","$114,202,737","$168,065,700"
827,2015,2015,Insidious Chapter 3,Focus Features,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000","3,002","3,014","11,369","$22,692,741","$52,218,558","$56,740,448","$68,234,597","$120,453,155"
828,2015,2015,Selma,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$20,000,000",19,"2,235","11,886","$571,450","$52,076,908","$56,586,532","$14,699,668","$66,776,576"
829,2015,2015,Jupiter Ascending,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$179,000,000","3,885","3,885","13,791","$18,372,372","$47,482,519","$51,594,286","$134,500,000","$181,982,519"
830,2015,2015,Poltergeist,20th Century Fox,Horror,Remake,Live Action,Contemporary Fiction,"$35,000,000","3,240","3,242","10,626","$22,620,386","$47,425,125","$51,531,925","$48,287,944","$95,713,069"
831,2015,2015,The Man From U.N.C.L.E.,Warner Bros.,Action,Based on TV,Live Action,Historical Fiction,"$75,000,000","3,638","3,673","15,553","$13,421,036","$45,445,109","$49,380,442","$63,072,626","$108,517,735"
832,2015,2015,Everest,Universal,Adventure,Based on Real Life Events,Live Action,Dramatization,"$65,000,000",545,"3,009","10,887","$7,222,035","$43,482,270","$47,247,637","$177,814,791","$221,297,061"
833,2015,2015,Krampus,Universal,Horror,Original Screenplay,Live Action,Fantasy,"$15,000,000","2,902","2,919","10,374","$16,293,325","$42,725,475","$46,390,490","$19,062,918","$61,788,393"
834,2015,2015,The Age of Adaline,Lionsgate,Drama,Original Screenplay,Live Action,Fantasy,"$30,000,000","2,991","3,070","14,935","$13,203,458","$42,629,776","$46,321,314","$26,354,760","$68,984,536"
835,2015,2015,Brooklyn,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$11,000,000",5,962,"9,836","$187,281","$38,322,743","$41,122,904","$23,753,398","$62,076,141"
836,2015,2015,The Longest Ride,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$34,000,000","3,366","3,371","15,167","$13,019,686","$37,446,117","$40,688,784","$26,356,811","$63,802,928"
837,2015,2015,Hot Pursuit,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000","3,003","3,037","11,623","$13,942,258","$34,580,201","$37,574,686","$11,091,311","$45,671,512"
838,2015,2015,Concussion,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$35,000,000","2,841","2,841","9,796","$10,513,749","$34,531,832","$37,049,232","$15,831,958","$50,363,790"
839,2015,2015,The DUFF,CBS Films,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$8,500,000","2,575","2,622","13,074","$10,809,149","$34,030,343","$36,977,216","$9,498,291","$43,528,634"
840,2015,2015,Woman in Gold,Weinstein Co.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$11,000,000",258,"2,011","11,250","$2,091,551","$33,307,793","$36,192,094","$25,278,614","$58,586,407"
841,2015,2015,Paper Towns,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$12,000,000","3,031","3,031","9,241","$12,650,140","$32,000,304","$34,771,387","$53,450,180","$85,450,484"
842,2015,2015,Point Break,Warner Bros.,Action,Remake,Live Action,Contemporary Fiction,"$100,000,000","2,910","2,910","8,960","$9,800,252","$28,782,481","$30,910,173","$97,922,110","$126,704,591"
843,2015,2015,The Last Witch Hunter,Lionsgate,Action,Original Screenplay,Live Action,Fantasy,"$80,000,000","3,082","3,082","11,140","$10,812,861","$27,367,660","$29,737,574","$103,451,252","$130,818,912"
844,2015,2015,Ricki and the Flash,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000","1,603","2,064","10,160","$6,618,610","$26,839,498","$29,163,681","$14,326,535","$41,166,033"
845,2015,2015,Love the Coopers,CBS Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000","2,603","2,603","11,501","$8,317,545","$26,302,731","$28,577,414","$17,960,682","$44,263,413"
846,2015,2015,The Lazarus Effect,Lionsgate,Horror,Original Screenplay,Live Action,Science Fiction,"$5,000,000","2,666","2,666","10,356","$10,203,437","$25,801,570","$28,035,865","$12,557,740","$38,359,310"
847,2015,2015,In the Heart of the Sea,Warner Bros.,Adventure,Based on Real Life Events,Live Action,Dramatization,"$100,000,000","3,103","3,103","8,370","$11,053,366","$25,020,758","$27,133,349","$64,672,551","$89,693,309"
848,2015,2015,Project Almanac,Paramount Pictures,Adventure,Original Screenplay,Live Action,Science Fiction,"$12,000,000","2,893","2,900","9,023","$8,310,252","$22,348,241","$24,283,490","$10,561,196","$32,909,437"
849,2015,2015,Black or White,Relativity,Drama,Based on Real Life Events,Live Action,Contemporary Fiction,"$9,000,000","1,823","1,823","8,053","$6,213,362","$21,571,189","$23,439,148","$399,832","$21,971,021"
850,2015,2015,Aloha,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000","2,815","2,815","8,228","$9,670,235","$21,052,030","$22,875,039","$4,335,061","$25,387,091"
851,2015,2015,Secret in Their Eyes,STX Entertainment,Thriller/Suspense,Remake,Live Action,Contemporary Fiction,"$20,000,000","2,392","2,392","9,016","$6,652,996","$20,180,155","$21,925,971","$12,427,864","$32,608,019"
852,2015,2015,Still Alice,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",12,"1,318","6,262","$212,000","$18,656,400","$20,271,959","$22,941,966","$41,598,366"
853,2015,2014,Seventh Son,Universal,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$95,000,000","2,875","2,875","7,426","$7,217,640","$17,725,785","$19,260,759","$91,149,182","$108,874,967"
854,2015,2015,The Transporter Refueled,EuropaCorp,Action,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000","3,434","3,434","9,222","$7,355,622","$16,029,670","$17,417,758","$53,668,825","$69,698,495"
855,2015,2015,Do You Believe?,Pure Flix Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$2,300,000","1,320","1,356","6,300","$3,591,282","$12,985,600","$14,110,091","$1,643,321","$14,628,921"
856,2015,2015,Self/Less,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$26,000,000","2,353","2,353","5,710","$5,403,460","$12,279,691","$13,343,051","$21,387,628","$33,667,319"
857,2015,2015,Far from the Madding Crowd,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$15,495,600",10,902,"3,919","$164,985","$12,236,500","$13,296,125","$17,492,950","$29,729,450"
858,2015,2015,The 33,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$25,000,000","2,452","2,452","6,535","$5,787,266","$12,227,722","$13,281,652","$16,059,767","$28,287,489"
859,2015,2015,Mortdecai,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$60,000,000","2,648","2,648","5,630","$4,200,586","$7,696,134","$8,362,576","$22,700,000","$30,396,134"
860,2015,2015,Me and Earl and the Dying Girl,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$8,000,000",15,870,"2,454","$196,496","$6,758,416","$7,343,664","$2,507,764","$9,266,180"
861,2015,2015,Little Boy,Open Road,Drama,Original Screenplay,Live Action,Historical Fiction,"$20,000,000","1,045","1,045","3,788","$2,750,356","$6,485,961","$7,047,612","$11,283,338","$17,769,299"
862,2015,2015,Victor Frankenstein,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$40,000,000","2,797","2,797","6,224","$2,469,341","$5,775,076","$6,275,168","$25,349,291","$31,124,367"
863,2015,2015,90 Minutes in Heaven,Samuel Goldwyn Films,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$5,000,000",877,899,"2,487","$2,035,273","$4,816,142","$5,233,190",$0,"$4,816,142"
864,2015,2014,Suffragette,Focus Features,Drama,Original Screenplay,Live Action,Historical Fiction,"$14,000,000",4,517,"1,978","$76,224","$4,702,420","$5,108,688","$33,185,623","$37,888,043"
865,2015,2015,Captive,Paramount Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$2,000,000",806,807,"1,745","$1,395,378","$2,583,301","$2,807,000","$208,672","$2,791,973"
866,2015,2015,Testament of Youth,Sony Pictures Classics,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$10,000,000",4,104,720,"$53,008","$1,822,250","$1,980,044","$4,824,419","$6,646,669"
867,2015,2015,The Vatican Tapes,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000",427,427,972,"$832,271","$1,784,763","$1,939,309","$13,144,421","$14,929,184"
868,2015,2015,Mustang,Cohen Media Group,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,400,000",3,57,381,"$20,321","$845,464","$900,446","$4,707,120","$5,552,584"
869,2015,2015,Freeheld,Lionsgate,Drama,Based on Short Film,Live Action,Dramatization,"$7,000,000",5,148,398,"$37,983","$546,201","$593,495","$1,186,027","$1,732,228"
870,2015,2015,Maggie,Roadside Attractions,Drama,Original Screenplay,Live Action,Science Fiction,"$4,500,000",79,79,96,"$131,175","$187,112","$203,306","$840,648","$1,027,760"
871,2015,2014,Desert Dancer,Relativity,Drama,Based on Real Life Events,Live Action,Dramatization,"$4,000,000",23,36,127,"$40,763","$155,271","$168,709","$441,064","$596,335"
872,2015,2014,"Guten Tag, Ramon",20th Century Fox,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$4,000,000",15,29,68,"$51,105","$154,356","$167,720","$4,700,000","$4,854,356"
873,2015,2015,The Last Five Years,RADiUS-TWC,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,"$2,000,000",3,36,64,"$51,475","$147,299","$160,053","$57,999","$205,298"
874,2015,2015,Manglehorn,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$4,000,000",3,27,67,"$11,227","$132,270","$143,720","$665,169","$797,439"
875,2015,2015,Before We Go,Radius,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",21,21,40,"$18,630","$37,151","$40,359","$446,787","$483,938"
876,2015,2015,Song One,Cinedigm/Film Arcade,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000",27,27,27,"$20,200","$32,251","$35,037","$404,838","$437,089"
877,2015,2015,The Sisterhood of Night,Freestyle Releasing,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$1,000,000",10,10,10,"$5,264","$6,870","$7,456",$0,"$6,870"
878,2015,2015,Romantic Schemer,,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$125,000",0,0,0,$0,$0,$0,$0,$0
879,2015,2015,Survivor,Alchemy,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000",0,0,0,$0,$0,$0,"$1,703,281","$1,703,281"
880,2015,2015,Aztec Warrior,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",0,0,0,$0,$0,$0,$0,$0
881,2015,2015,The Final Girls,,Black Comedy,Original Screenplay,Live Action,Fantasy,"$4,500,000",0,0,0,$0,$0,$0,$0,$0
882,2015,2015,8 Days,,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$2,500,000",0,0,0,$0,$0,$0,$0,$0
883,2015,2014,Miss Julie,,Drama,Based on Play,Live Action,Historical Fiction,"$5,500,000",0,0,0,$0,$0,$0,"$863,895","$863,895"
884,2015,2015,Heroes of Dirt,Blue Trail Entertianment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$175,000",0,0,0,$0,$0,$0,$0,$0
885,2015,2015,The Lovers,IFC Films,Adventure,Original Screenplay,Live Action,Historical Fiction,"$35,000,000",0,0,0,$0,$0,$0,"$53,899","$53,899"
886,2015,2015,The True Cost,Untold Creative,Documentary,Based on Real Life Events,Live Action,Factual,"$500,000",0,0,0,$0,$0,$0,"$230,362","$230,362"
887,2015,2015,4/11,,Action,Original Screenplay,Live Action,Contemporary Fiction,"$250,000",0,0,0,$0,$0,$0,$0,$0
888,2015,2015,Accidental Love,Alchemy,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$26,000,000",0,0,0,$0,$0,$0,"$135,436","$135,436"
889,2015,2014,Red Sky,,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$25,000,000",0,0,0,$0,$0,$0,"$91,116","$91,116"
890,2015,2015,Robot Overlords,Vertical Entertainment,Action,Original Screenplay,Live Action,Science Fiction,"$21,000,000",0,0,0,$0,$0,$0,"$991,329","$991,329"
891,2015,2015,To Write Love On Her Arms,,Drama,Based on Real Life Events,Live Action,Historical Fiction,"$3,400,000",0,0,0,$0,$0,$0,$0,$0
892,2016,2016,Rogue One: A Star Wars Story,Walt Disney,Adventure,Spin-Off,Animation/Live Action,Science Fiction,"$200,000,000","4,157","4,157","29,116","$155,081,681","$532,177,324","$559,504,855","$522,958,274","$1,055,135,598"
893,2016,2016,Captain America: Civil War,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$250,000,000","4,226","4,226","25,150","$179,139,142","$408,084,349","$432,144,810","$743,834,172","$1,151,918,521"
894,2016,2016,Batman v Superman: Dawn of Justice,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$263,000,000","4,242","4,256","25,005","$166,007,347","$330,360,194","$349,838,079","$542,034,897","$872,395,091"
895,2016,2016,Suicide Squad,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$175,000,000","4,255","4,255","31,523","$133,682,248","$325,100,054","$344,267,800","$421,746,840","$746,846,894"
896,2016,2016,Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,Spin-Off,Animation/Live Action,Fantasy,"$180,000,000","4,144","4,144","26,479","$74,403,387","$234,037,575","$247,407,093","$577,686,810","$811,724,385"
897,2016,2016,Doctor Strange,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$165,000,000","3,882","3,882","24,582","$85,058,311","$232,641,920","$246,262,634","$443,712,561","$676,354,481"
898,2016,2016,Jason Bourne,Universal,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$120,000,000","4,026","4,039","22,794","$59,215,365","$162,192,920","$171,755,734","$253,975,396","$416,168,316"
899,2016,2016,Star Trek Beyond,Paramount Pictures,Adventure,Based on TV,Live Action,Science Fiction,"$185,000,000","3,928","3,928","20,357","$59,253,211","$158,848,340","$168,213,956","$176,825,368","$335,673,708"
900,2016,2016,X-Men: Apocalypse,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$178,000,000","4,150","4,153","17,561","$65,769,562","$155,442,489","$164,607,298","$387,095,057","$542,537,546"
901,2016,2016,La La Land,Lionsgate,Musical,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000",5,"3,236","23,194","$881,104","$151,101,803","$155,596,981","$294,506,045","$445,607,848"
902,2016,2016,Ghostbusters,Sony Pictures,Comedy,Remake,Animation/Live Action,Science Fiction,"$144,000,000","3,963","3,963","18,792","$46,018,755","$128,350,574","$135,918,059","$100,658,084","$229,008,658"
903,2016,2016,Central Intelligence,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000","3,508","3,508","18,681","$35,535,250","$127,440,871","$134,954,729","$89,753,934","$217,194,805"
904,2016,2016,The Legend of Tarzan,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$180,000,000","3,561","3,591","17,135","$38,527,856","$126,643,061","$134,109,875","$222,258,964","$348,902,025"
905,2016,2016,Sully,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$60,000,000","3,525","3,955","24,002","$35,028,301","$125,070,033","$132,440,565","$113,454,523","$238,524,556"
906,2016,2016,Independence Day: Resurgence,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,"$165,000,000","4,068","4,091","15,489","$41,039,944","$103,144,286","$109,225,617","$281,025,138","$384,169,424"
907,2016,2016,Arrival,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$47,000,000","2,317","3,115","20,118","$24,074,047","$100,546,139","$106,158,666","$102,581,755","$203,127,894"
908,2016,2016,Passengers,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$110,000,000","3,478","3,478","18,284","$14,869,736","$100,014,699","$104,225,320","$202,224,973","$302,239,672"
909,2016,2016,The Magnificent Seven,Sony Pictures,Western,Remake,Live Action,Historical Fiction,"$90,000,000","3,674","3,696","19,075","$34,703,397","$93,432,655","$98,940,934","$68,703,469","$162,136,124"
910,2016,2016,Ride Along 2,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000","3,175","3,192","15,857","$35,243,095","$90,862,685","$96,219,901","$33,964,631","$124,827,316"
911,2016,2016,Miss Peregrineâs Home for Peculiar …,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$110,000,000","3,522","3,835","21,544","$28,871,140","$87,242,834","$92,375,385","$208,744,042","$295,986,876"
912,2016,2016,Teenage Mutant Ninja Turtles: Out of …,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$135,000,000","4,071","4,071","15,125","$35,316,382","$82,051,601","$86,889,323","$163,276,773","$245,328,374"
913,2016,2016,Tyler Perryâs Boo! A Madea Halloween,Lionsgate,Comedy,Based on Play,Live Action,Contemporary Fiction,"$20,000,000","2,260","2,299","10,904","$28,501,448","$73,206,343","$77,522,555",$0,"$73,206,343"
914,2016,2016,10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000","3,391","3,427","16,734","$24,727,437","$72,082,999","$76,332,973","$36,203,423","$108,286,422"
915,2016,2016,Lights Out,Warner Bros.,Horror,Based on Short Film,Live Action,Contemporary Fiction,"$5,000,000","2,818","2,835","12,695","$21,688,103","$67,268,835","$71,234,975","$81,537,675","$148,806,510"
916,2016,2016,The Divergent Series: Allegiant,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$110,000,000","3,740","3,740","16,464","$29,027,348","$66,184,051","$70,086,229","$105,838,466","$172,022,517"
917,2016,2016,Now You See Me 2,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000","3,232","3,232","13,138","$22,383,146","$65,075,540","$68,912,356","$263,249,467","$328,325,007"
918,2016,2016,Deepwater Horizon,Lionsgate,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$156,000,000","3,259","3,403","16,674","$20,223,544","$61,433,527","$65,055,612","$61,170,297","$122,603,824"
919,2016,2016,My Big Fat Greek Wedding 2,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000","3,133","3,179","16,199","$17,861,950","$59,689,605","$63,208,873","$32,406,953","$92,096,558"
