,title,year,M,p,q
0,Ága,2019,4082.9121386868715,0.06331088333447243,0.1575367777892981
1,Zootopia,2016,39313664.6988197,0.27362357718976493,0.049397107220724074
2,Zookeeper,2011,9997805.911603922,0.3788571113860851,0.11565720934810086
3,Zombieland: Double Tap,2019,8006363.356125843,0.47983784272706476,-0.03154778297160332
4,Zero Dark Thirty,2012,11521166.294078643,0.06871909988888268,0.6198671074375149
5,Zama,2018,21103.95672182654,0.2143766588395686,0.26824554587642085
6,Yves Saint Laurent,2014,105896.81097253742,0.042767920255957374,0.21843058886239136
7,Youth in Revolt,2010,1926000.8981685878,0.6020469063924018,0.16205337908675477
8,Youth,2015,306209.3256195007,0.15266243308039706,0.2076609655510216
9,Your Sister's Sister,2012,197277.05871977963,0.1389180742552656,0.4490717278411234
10,Young Goethe in Love,2011,2794.3564914358876,-0.21243108865530383,4.478868691901584e-06
11,Young Adult,2011,2030876.476487469,0.158297988473545,0.7357795211474235
12,Young & Beautiful,2014,12885.754493484053,0.09064989334998086,0.08232517972796813
13,You Will Meet a Tall …,2010,406657.37021070305,0.04401249882310849,0.566720581552946
14,You Ain't Seen Nothin…,2013,1129.565887681685,-1.0071525415013183,0.00023262920719873127
15,You Again,2010,3223018.0791692548,0.432041464364838,0.1141698566013053
16,Yossi,2013,14881.016294609339,0.11117186603113544,0.23372853167155466
17,Yogi Bear,2010,12521959.82733228,0.29618463408491547,0.07517716686083192
18,Yesterday,2019,8219080.829425744,0.3429869502569878,-0.0318342960116878
19,Yellow Submarine (196…,2018,108829.82408718145,0.3888662280318847,-0.10269670921833346
20,X-Men: First Class,2011,18420167.120341692,0.5057026162514829,-0.049480742219046414
21,X-Men: Days of Future…,2014,28618789.9342788,0.5535894116196627,-0.22268291294286113
22,Wrong Turn,2021,138035.6026978304,0.02882424208854948,0.3479003716046381
23,Wreck-It Ralph,2012,22983332.336225703,0.33617541462835837,0.009038015369128793
24,Wrath of the Titans,2012,10467342.093622357,0.5272534781341853,-0.03192212557345475
25,Wrath of Man,2021,3077115.1653579087,0.37529996154485834,-0.07650880445705716
26,World War Z,2013,24787593.873515435,0.4657212274175267,-0.05785908125171241
27,Working Woman,2019,8218.291027170344,0.10255711400169322,0.07867076628722909
28,Words on Bathroom Walls,2020,278050.3646385954,0.25284424140339407,0.23062659606101418
29,Words and Pictures,2014,259122.05698013215,0.08496279253112991,0.6294264150036458
30,Woodlawn,2015,1690408.7840535517,0.37302099270373607,0.13766045223157805
31,Wonât You Be My Neigh…,2018,2436209.7619966213,0.06450835899904506,0.5958066578216009
32,Wonder Woman,2017,45935694.58248884,0.357234163197147,-0.06108509281336594
33,Wonder,2017,14632548.393884044,0.358533686569119,-0.06988608824835596
34,Womenâs Balcony,2017,131274.2738593064,-0.04633466756685751,0.4469994338035977
35,Woman in Gold,2015,3885660.0312292804,0.10143547106341044,0.4337023986595239
36,Woman at War,2019,91844.97978282851,0.054589923998970724,0.42221906493888267
37,Wolf Warrior 2,2017,301016.31088216195,0.24936139479684827,0.546349692482418
38,Witnesses,2021,95046.49378482676,0.2852304086034862,-0.002773397096306751
39,Wish Upon,2017,1585021.7036200878,0.5662279138894776,0.11579609717527017
40,Winter's Bone,2010,804011.3161840329,0.06744530360524681,0.22362816878834654
41,Winter in Wartime,2011,69084.87041407278,0.05098381910619193,0.24981075958572718
42,Winnie the Pooh,2011,3317056.616844122,0.4772922098843455,0.1636549989285545
43,Winnebago Man,2010,27240.340393926228,0.10619143873991331,0.01076576720619321
44,Wings of Desire (1987…,2018,15952.823426014138,0.15458237064604682,-0.019346738635638655
45,Wind River,2017,3728024.895848393,0.05957128867648007,0.8049567874996408
46,Win Win,2011,1267212.1444407562,0.06669597408992436,0.4516813269418477
47,William S. Burroughs:…,2010,6679.341388629205,0.1526081697867157,-0.029646104555310693
48,Wildlife,2018,112146.58926023814,0.13236747833378726,0.37867197181354983
49,Wild Tales,2015,364052.5305916329,0.06177662981697968,0.2926046217117897
50,Wild Rose,2019,173803.67252348457,0.05992801101355678,0.9434277512224215
51,Wild Nights With Emily,2019,55874.26023529599,0.1268102057016727,0.5625797928526012
52,Wild Grass,2010,50547.96571628316,0.17881521020713936,0.07702588919956445
53,Wild,2014,4418754.941153718,0.017763028325972718,0.8188213417800626
54,Widows,2018,4645055.0717575755,0.41390299147490095,0.11146248796609864
55,Why Him?,2016,6656538.999906245,0.4281123784389121,0.21205544559397294
56,Why Don't You Play in…,2014,727.2324416329222,-0.4335106154218625,8.195228549783263e-05
57,Why Did I Get Married…,2010,7595720.706105433,0.6263241755969645,-0.07148807881949293
58,Who Will Write Our Hi…,2019,16649.309094374483,0.18117527810695025,-0.054001312230187226
59,Whitney,2018,329370.90464960213,0.6084977725551814,0.15634775912628907
60,White Material ,2010,38864.47891451601,0.21056097292357093,0.09710805965950695
61,White House Down,2013,8921104.197915599,0.5104565348196314,0.08951263521456415
62,White God,2015,32342.506558742094,0.17200155456450822,0.42346301955501486
63,Whisky Galore,2017,2343.3199676350428,0.09903768315322585,0.3676443767171953
64,Whiplash,2014,2190397.1551711666,0.017945644620231727,0.1112457588032976
65,While We're Young,2015,880569.423194032,0.08261994388232158,0.7554685129814336
66,Whereâs My Roy Cohn?,2019,76229.87989435412,0.08567913107208044,0.5898091521099257
67,Where to Invade Next,2016,455558.1455192562,0.3601116064642071,-0.09907739549420852
68,Where Do We Go Now,2012,64739.41133112624,0.09915977013886224,0.36573103677282637
69,When the Game Stands …,2014,3661527.9668132486,0.36346410335830825,0.21016368008299194
70,When the Bough Breaks,2016,3447224.713167399,0.5754113969529676,-0.03193395231029972
71,When in Rome,2010,4157439.1829215325,0.4666076127712491,-0.048281777513319246
72,When You're Strange: …,2010,31538.282749988135,0.3635145602099713,-0.08434145849096086
73,When Marnie Was There,2015,65655.50055089574,0.10539615806880416,0.5351055519201062
74,What to Expect When Y…,2012,5145886.592777381,0.3668771451962874,0.1764275681270663
75,What is Democracy,2019,1029.9563553441274,-0.3177214003072755,2.6618679867594156e-05
76,What Will People Say,2018,2386.543853593928,-1.0840421486137581,0.00013109754355811523
77,What We Do in the Shadows,2015,407642.371957558,0.050763570397120185,0.4296715532092953
78,What If...,2010,99499.53119064347,0.1403040123404439,0.15276985068541335
79,Weâre the Millers,2013,18316176.797668297,0.16128461271751066,0.2857217749915631
80,Western,2018,4436.947010258101,0.3067886160289005,-0.09559893523645041
81,West of Memphis,2012,42138.2620629306,0.018641925213184907,0.25460090552073306
82,Welcome to Leith,2015,4184.573173066956,0.12789208971122148,0.26253556869643324
83,Weiner,2016,191121.33928564223,0.11256501003523565,0.3409029755149528
84,Wedding Doll,2016,6499.340424815192,0.021550189910382458,0.7196020465102165
85,Weathering With You,2020,844310.9926593404,0.4034801452567488,0.36522982737733156
86,We Need to Talk About…,2011,224007.11852418073,0.024534469801899425,0.30140300152965777
87,We Come as Friends,2015,5831.94351420024,0.17799782686988222,0.5173417828513657
88,We Bought a Zoo,2011,9419007.686152278,0.36852863878957554,0.1095608976279186
89,We Are The Best!,2014,21534.781356723535,0.18940738313988437,0.3681553288106143
90,Waves,2019,177783.91773313892,0.08611289747181732,0.9147864270619368
91,Water for Elephants,2011,7401507.645679713,0.3920080856250251,-0.04120615446604087
92,Wastelander,2018,7698.7902133642865,0.39919350308168944,-0.20181513690766306
93,Waste Land,2010,2140.2869430763412,-0.11119398788639297,2.283184937394981e-06
94,Warm Bodies,2013,8126386.028456573,0.37666694966321107,0.11022045477981235
95,Warcraft,2016,5462630.088423027,0.6603407324019029,-0.013559562920789414
96,War for the Planet of…,2017,16369266.41021014,0.526639280260236,-0.15031392691833112
97,War and Peace (1968) …,2019,3700.0082078987134,-0.6596863906361189,3.323182265867195e-05
98,War Witch,2012,39508.40715150008,0.09394479669605561,-0.02035422114556161
99,War Room,2015,8024167.678485967,0.2370026575848738,0.20292731026929633
100,War Horse,2011,9985653.325898655,0.33542100130958047,0.15441738857571816
101,Wall Street 2: Money …,2010,6646168.894586792,0.49215232754345634,-0.001153437944790725
102,Walking with Dinosaurs,2013,4343121.44459677,0.40153647118642466,0.44310600927628585
103,Walking the Camino: S…,2014,86661.92629660647,0.022326538917932216,0.01769064874434851
104,Walking on Water,2019,11058.569482946526,0.30176228446292097,-0.11643300068503226
105,Walk with me,2018,79786.87164632972,-7.64314993247135,8.153291130318799
106,Waiting for Superman,2010,803710.5154637938,0.06811351574637424,0.5950734155521195
107,Wagner & Me,2012,2588.2940483720563,-0.9942865775737569,9.606371043518311e-05
108,W.E.,2012,76317.49232688565,0.1256692967984013,0.12839892693849236
109,Volcano,2016,33738.0667056471,0.08062075999059519,0.26536925789896937
110,Viva Riva,2011,9032.31601787983,0.21560700197586757,-0.12648830547058532
111,Visitors,2014,10444.07524659716,0.12687095281582067,0.256528609542949
112,Vision,2010,54391.344002788835,0.04625735709800514,0.19111866495591395
113,Vincere,2010,76402.35176100089,0.09830299358045497,0.40143958327098145
114,Victoria and Abdul,2017,2456238.2125104703,0.10193783475710082,0.5701525643753425
115,Viceroyâs House,2017,121317.75628204462,0.1063131568730238,0.7769139160716988
116,Vice,2018,5168436.354606255,0.24864546884319055,0.22301947465132263
117,Venom,2018,23522283.02629927,0.49936369835119476,-0.1395502722009293
118,Vazante,2018,2404.276545162489,0.24953661741410132,0.04167536791671808
119,Vaxxed: From Cover Up…,2016,168327.15959121197,0.02499469586847993,0.09451454226175923
120,Varda by Agnes,2019,18086.21832426828,0.15131429709321612,0.03249439144749544
121,Vampires Suck,2010,4644224.213296944,0.39506329757220165,0.1646409828727755
122,Valentine's Day,2010,14047757.81865175,0.6330274182269046,-0.15595851599129218
123,Vacation,2015,6891391.4296799265,0.2130647034419688,0.5041974456659746
124,Us,2019,19097974.013733596,0.5415370333847208,-0.00917365638186507
125,Uri: The Surgical Strike,2019,454944.8473038291,0.24957509759792235,0.3301525578541904
126,Upstream Color,2013,53861.17686165821,0.14522710740873238,0.519069994015421
127,Up in the Air,2009,10539459.927184127,0.1650353217522455,0.2536099179110905
128,Until the Light Takes Us,2009,17749.703125636966,-0.04105661569000686,0.27826415070266786
129,Unstoppable,2010,10167255.603598682,0.09403170375419549,0.6230809284069296
130,Unplanned,2019,2026987.6501087365,0.5005135963799875,0.013839498124828209
131,Unlocking the Cage,2016,3245.672917815323,0.17629588565966564,0.16390400405767203
132,Unknown,2011,8024335.559340913,0.47720941242334336,0.026859864195032224
133,Union,2019,5378.4971313401875,0.14823923065420858,-0.017810623178620782
134,Unhinged,2020,2283068.0819287365,0.1429322685490699,0.232502994483261
135,Unforgivable,2012,21131.535980902292,0.13937239980176722,0.0018895995932099174
136,Unfinished Song,2013,199814.12074566458,0.04569392532106254,0.593878349404688
137,Undertow,2010,18720.233999662512,0.0529371431939143,0.02027061961575414
138,Under the Sun (2016),2016,11085.541157935451,0.17623632960238944,0.12290696975933778
139,Under the Skin,2014,311590.3013842968,0.1325802338327688,0.38048430176806347
140,Under the Sea 3D,2009,4171413.8003763105,-0.001744697495481037,0.0195750148821955
141,Undefeated,2012,68820.40075989939,0.10419793279559796,0.29609606437457403
142,Uncut Gems,2019,5346956.3048306415,0.13547814656404514,0.8596551917932308
143,Uncle Drew,2018,4659255.928143563,0.5487629190537143,-0.01349105860831179
144,Uncle Boonmee,2011,22524.51975096401,0.15109937251281913,0.10574205767358211
145,Unbroken: Path to Red…,2018,681249.910242568,0.5249270070665812,0.18768685876076363
146,Unbroken,2014,13499855.830496058,0.26507058334096933,0.6634490747543083
147,Unbranded,2015,16715.384254221262,-0.8467306612450795,1.2073848126507795e-05
148,U2 3D,2010,1347304.4749641186,0.1269306694847003,-0.115499650342649
149,Tyler Perryâs A Madea…,2019,8059694.6166510545,0.45594814642181364,-0.019067459489021832
150,Tyler Perry's Madea's…,2012,8238738.4556538,0.5427451940725522,-0.08910042080183622
151,Tyler Perry's Good Deeds,2012,4385486.29600592,0.5375866889776549,-0.003035589076456402
152,Two-Bit Waltz,2014,272.73820676279564,0.04234967822401828,0.8786544394720348
153,"Two Days, One Night",2014,167545.9221018148,0.009682646578904337,0.6589350134856352
154,Turtle: The Incredibl…,2011,51058.60018053649,0.22202142862870633,-0.06943459875508146
155,"Turn Me On, Dammit!",2012,18673.622352947714,0.08646440896100602,-0.02295276434791181
156,Turbo,2013,10050846.416052042,0.22539444246696846,0.5840368543240145
157,Tulsa,2020,49474.598262408384,0.2279880113623035,-0.0506693451628229
158,Tulip Fever,2017,269370.51671190077,0.6829247824645549,-0.09256297642050482
159,"Tuesday, After Christmas",2011,3286.5042802434673,0.24527063002926672,0.3130308773493692
160,Truth,2015,291800.10860649566,0.15783824875478533,1.011817248446589
161,Trumbo,2015,878701.0764150436,0.07339118996266444,0.6282270648920241
162,Truman,2017,23093.259669295916,0.1588615010539417,0.4020809465875801
163,True Grit,2010,21364718.506344613,0.17757751854499662,0.23898583695422052
164,Troublemakers: The St…,2016,3319.194106317149,0.371762071656224,-0.02566931393420191
165,Trouble with the Curve,2012,4465535.068326063,0.45578709720148364,0.09752297141336053
166,Tron: Legacy,2010,21610453.941568606,0.40238683354339205,0.049175963571092496
167,Trolls,2016,17162100.402032297,0.396034130045946,0.14672633710248092
168,Troll Hunter,2011,31061.794064895483,0.0907426237333594,0.41005433048432394
169,Tremors,2019,2836.5842489458523,0.3441301717645447,-0.23643621224406858
170,Transit,2019,87921.0018398911,0.0895898678448488,0.48480278366921964
171,Transformers: The Las…,2017,14239642.781864917,0.26705523102517775,0.8516324841957408
172,Transformers: Dark of…,2011,43842723.106465526,0.2636523098279905,0.5644720701454905
173,Transformers: Age of …,2014,30029239.21439365,0.5637837481681177,-0.10142920189232774
174,Trainwreck,2015,13093984.01554664,0.40175618488580167,-0.04560044141904279
175,Train to Busan Presen…,2020,133595.21720236656,0.16378043956651897,0.219425884231988
176,Train to Busan,2016,242594.1542025828,0.23690859056130112,0.03284064781536966
177,Trace Amounts,2015,9723.908352690298,0.05624860842108252,0.1372462931250638
178,Toy Story 4,2019,47497371.59167404,0.4108521901032141,-0.11299105497848666
179,Toy Story 3,2010,52304573.44551427,0.40597862596953516,-0.07012972529172473
180,Tower Heist,2011,9926835.493988901,0.3831431609611322,-0.045912248227714336
181,Tower,2016,11085.482427351588,0.08116522619989093,0.6426964182330684
182,Total Recall,2012,7376531.607248239,0.6149227008825869,-0.13519131847508958
183,Toni Morrison: The Pi…,2019,100599.10022168075,0.09435811417333796,0.20594781530555265
184,Toni Erdmann,2016,162917.12736413797,0.0053131224245678765,0.5490357795461916
185,Tomorrowland,2015,11042135.379269436,0.5299238610631415,-0.12483937287678148
186,Tomboy,2011,15830.388063014527,0.09562936382877546,0.3387785374178655
187,Tomb Raider,2018,6291035.477832866,0.5454681168728643,0.048994721208129643
188,Tom of Finland,2017,42596.04574197187,0.10880943045217167,0.05838009734409177
189,Together Together,2021,156046.53630240986,0.4940236547367076,0.1925702437304319
190,To the Wonder,2013,70293.90195614634,0.2807140950482528,0.25552898314237865
191,To the Sea,2010,1431.0765213970922,-0.41626830947476395,3.2719297795228624e-05
192,To the Arctic 3D,2012,1701327.2347892958,0.03690408610138659,0.01230440982007154
193,To Save a Life,2010,475150.9750376742,0.4963648412867024,-0.13781259606389867
194,To Rome with Love,2012,2065676.3022993254,0.10253715735297915,0.49346493624046783
195,To Dust,2019,20286.227600528004,0.10985606428756528,0.4628641419987952
196,Titanic in 3D,2012,82692031.53796437,-10.035004799910213,11.059555644287235
197,Tiny Furniture,2010,49957.71386950935,0.08485664252687031,0.2338246640710939
198,Tinker Tailor Soldier…,2011,2921004.1155881975,0.05194342640001433,0.6704289148358091
199,Time to Die,2017,834.4912576298923,-1.0895937042027077,0.0003718048660391635
200,Time for Change,2010,9606.662223305604,0.04325162461487853,0.3195171514952849
201,Time Out of Mind,2015,19487.066054795927,0.07859464875389266,0.48440868997652653
202,Timbuktu,2015,126087.40487437577,0.06162956510719862,0.43636640780521413
203,Tim's Vermeer,2014,200765.55492619443,0.00768801869700404,0.6028626837612426
204,Tickled,2016,69732.236534244,0.10224644623637526,0.4258994226430399
205,Through a Lens Darkly,2014,7411.693641607005,0.187275351249132,0.25389149057893706
206,Three Identical Stran…,2018,1333224.3273529708,0.07451202489997572,0.47926538851083894
207,Three Billboards Outs…,2017,6274409.071255242,0.05159710536634135,0.13938158448663945
208,Thor: The Dark World,2013,25185766.19844407,0.5300541853211728,-0.118043989649814
209,Thor: Ragnarok,2017,34692147.96063876,0.4980642516420804,-0.0972331025728293
210,Thor,2011,23414239.147590093,0.4548067235919461,-0.29830036602750926
211,This is the End,2013,12069927.035906209,0.20254758312874732,0.4384618421779673
212,This is Where I Leave…,2014,4185863.4477720573,0.4532761845050981,0.14553273844872522
213,This is 40,2012,8252941.949793784,0.3718953379520193,0.3183949002483364
214,This Means War,2012,6902997.081290192,0.4382135038648311,-0.09718469830832716
215,This Last Lonely Place,2016,2873.1186239777,0.10714180208078751,0.02604016578553174
216,Third Person,2014,116326.13756507846,0.08646339983637392,0.8142165197338693
217,Think Like a Man,2012,11506786.574675145,0.46854258044792324,-0.04615855911573813
218,Things to Come,2016,45515.59757701992,0.14723235903164789,0.17795760320142934
219,Thin Ice,2012,105656.1652617441,0.3004760896665559,-0.15508160548419514
220,They Shall Not Grow Old,2018,1949096.710682868,0.1604987446055163,0.34417328497507294
221,Thelma,2017,15745.676430985077,0.09226013861623632,0.6211937855535415
222,Their Finest,2017,396097.7396741942,0.09122089760799594,0.5750404042495459
223,Theeb,2015,35004.03114161726,0.08336079378161838,0.048542448465034256
224,The Zookeeperâs Wife,2017,1950399.8516811307,0.26906580402784125,0.14797359196616205
225,The Young Victoria,2009,1371124.7355885028,0.09449559477509648,0.3278702711269408
226,The Young Karl Marx,2018,14006.866765229857,0.31742679741730834,-0.0043357701082620825
227,The Yes Men Fix the W…,2010,24734.397949791874,-1.4532641649007316,1.9023348956297501
228,The Wretched,2020,194951.5838438458,0.053332658579169065,0.5218208019610431
229,The Wrecking Crew,2015,93169.02122068327,0.1416914585408234,0.27273175699024843
230,The World's End,2013,3193491.7772377105,0.4574519863906818,0.13453269953488817
231,The World Before Your…,2018,30470.433195811755,0.057068146109461315,0.16036843008356097
232,The Woodmans,2011,5053.5990263221,0.20726486029143434,0.07365500670561845
233,The Womenâs Balcony,2017,30183.5013603625,0.1557914460061944,0.5475147544550586
234,The Women on the 6th …,2011,27967.44841051479,-0.6931998176092867,4.511106807270465e-06
235,The Woman in Black 2:…,2015,3137142.690436597,0.6619525746149844,-0.03298362297048962
236,The Woman in Black,2012,6809712.713655183,0.46123288005987895,0.06859024457161633
237,The Woman Who Loves G…,2019,16644.408637037573,-0.008823654566258362,0.37735664905392713
238,The Wolverine,2013,16218519.70122934,0.5576491579190643,-0.10498882069532267
239,The Wolfpack,2015,151916.03443031237,0.13287376588833558,0.49068770046901145
240,The Wolf of Wall Street,2013,14178812.714687351,0.1530348431776204,0.27454652422943154
241,The Witness,2016,17773.06546460966,0.13243314628076977,0.3221917083504278
242,The Witch,2016,2892080.6519085686,0.46553382043524405,0.06968722242369818
243,The Wildest Dream,2010,15636.703338530137,-0.27292914587329686,1.2431203910768464e-06
244,The Wild Pear Tree,2019,3227.936295799014,0.16736168650974356,0.28646997686631914
245,The Wife,2018,988953.9397159262,0.07391079773196312,0.2092161575911074
246,The White Ribbon,2010,280721.92194084526,0.02892629903436545,0.3612387456103788
247,The White Crow,2019,194949.0350121897,0.045809005349548786,0.8867632071450424
248,The Whistleblower,2011,137133.18565990598,0.11484644257615256,0.44521927001288797
249,The Whale,2011,10388.042262637187,0.058641312656756595,0.06966779680522721
250,The Well-Digger's Dau…,2012,47206.09186352974,0.09960289905733362,0.13304154652474384
251,The Wedding Ringer,2015,7739957.372807315,0.42854733461246497,-0.08229949709003104
252,The Wedding Plan,2017,154442.8202876153,0.12515858575624964,0.8009108815295376
253,The Weathered Undergr…,2010,17423.375147657418,-0.0172208854488784,1.1948847545106398
254,The Way Way Back,2013,2603552.5460116984,0.08058950528142207,0.542391987259385
255,The Way Back,2011,327423.50405145454,1.4769101344939641,-0.4901054778871017
256,The Way,2011,555484.7542395514,0.08096124389680379,0.2833990013548442
257,The Wave,2016,19821.03751220429,0.18383480725307233,0.6365259326493603
258,The Water Diviner,2015,499715.1621564226,0.3924999000007978,0.09387681705349954
259,The Watch,2012,4282397.574027434,0.5587855180125104,0.1833196059300337
260,The War with Grandpa,2020,2322212.069165076,0.21834861740865455,-0.08890964407136884
261,The Wall,2013,201721.35185197106,0.04216173609650929,0.9922918769005502
262,The Waiting Room,2012,31098.75033271596,0.11028972124248726,-0.00846322594559569
263,The Wailing,2016,89635.6038902254,0.4892576157110071,0.00863980164276007
264,The Vow,2012,15669534.893308666,0.4985583828586109,-0.05660236299216931
265,The Visit,2015,7774908.444287257,0.4718394467316852,-0.08990914562956831
266,The Upside,2019,11911821.145363092,0.2584369620445991,0.06583923117639781
267,The Unknown Known,2014,32890.30761823263,0.3396814321848277,0.5890912157813081
268,The Unholy,2021,1737363.8940719846,0.266499298724359,0.09346247926127962
269,The Two Faces of January,2014,60732.58927985633,0.12855175022522283,0.539499187349165
270,The Twilight Saga: New Moon,2009,37612421.7210425,3.104927687109374,-2.7158990237969416
271,The Twilight Saga: Ec…,2010,37677152.12721185,0.3359983736709738,0.38798164314670075
272,The Twilight Saga: Br…,2011,35719374.45344157,0.6398521242117337,-0.2267551672638889
273,The Truffle Hunters,2021,57567.33768208124,0.05787248823894801,0.20493059814319775
274,The Trip to Spain,2017,126162.95769192731,0.07161946684696545,0.7234655029615699
275,The Trip to Italy,2014,347464.42814849195,0.07050295128390693,0.6023411808296153
276,The Trip,2011,262979.1112034183,0.08637298234450864,0.19113242595839802
277,The Tribe,2015,18566.064795732393,0.13131033011573426,0.14381638040380304
278,The Trials of Muhamma…,2013,7290.436727698517,0.05322392990281986,0.2017026212831897
279,The Tree of Life,2011,1657420.1706060176,0.0625826923606242,0.3739078761896824
280,The Tree,2011,863.6928323092452,-0.09233769227918182,3.099823003289547e-06
281,The Transporter Refueled,2015,1894162.154613282,0.666635741411566,0.10610021392061064
282,The Transfiguration,2017,2406.0604911855344,0.28497247077895493,0.003953863647885247
283,The Town,2010,11711164.737111405,0.3580746122919394,-0.006116813608147587
284,The Tourist,2010,8583145.694041373,0.31313455281151265,0.11219390437937632
285,The Topp Twins: Untou…,2011,573.1371896233413,-0.21436030162269354,3.1108200374211405e-05
286,The Tooth Fairy,2010,7606973.440294799,0.23824432055521683,0.1173432321427779
287,The Tillman Story,2010,99266.38721747653,0.12722467969950074,0.2688927556709511
288,The Three Stooges,2012,5499539.038056105,0.4633948746817433,0.020377408778775863
289,The Three Musketeers,2011,2552573.3556381543,0.5604834651421045,0.001769660573741283
290,The Third Wife,2019,9641.055172827679,0.08648607956119005,0.2241651037051316
291,The Third Murder,2018,9578.116657107461,0.22288137259568558,0.1507910953094624
292,The Third Man,2015,121439.9808053758,-0.316149227284603,0.762294429398368
293,The Theory of Everything,2014,4245259.6610658085,0.06711686204822559,0.2182139675450758
294,The Tenth Man (2016),2016,2278.1274666339905,-0.5116867465735995,2.9397149377373104e-05
295,The Tempest,2010,33823.228124632995,0.2803833094281143,0.3755135618106796
296,The Teacher,2017,7014.465484752126,0.2563997527902002,0.1166900828789521
297,The Tax Collector,2020,113668.99914051102,0.4097772093400601,0.10762913608264207
298,The Tale of the Princ…,2014,83732.84346440478,0.14416582273562134,0.05394824689866558
299,The Switch,2010,3500252.154780949,0.37257347584427103,0.23124373983736682
300,The Sun,2009,11600.114860561616,-0.2447078947627731,0.5528258693950359
301,The Stray,2017,174558.01216678508,0.5793472251068578,0.07579485169461997
302,The Strangers: Prey a…,2018,2679063.6596567566,0.5651368446084835,0.06880376250923526
303,The Strange Case of A…,2010,1928.0635205564781,-0.588223173273726,4.632526870984234e-05
304,The Star,2017,4622309.512447557,0.3572108163704541,-0.04609726689117394
305,The Stanford Prison E…,2015,74321.6639238877,0.12040197053568966,0.717968934613981
306,The Square,2010,173534.65187185496,0.02481221471100166,0.14666187280101145
307,The Spy Behind Home P…,2019,56396.270379210204,0.04618131786644472,0.4263110556914492
308,The SpongeBob Movie: …,2015,19094941.313761804,0.021080259273893686,0.698360053475546
309,The Spectacular Now,2013,837831.5083216279,0.043992087031473205,0.7227870723029142
310,The Sorcerer's Appren…,2010,7859268.850489506,0.23068623498081536,0.5667504971059248
311,The Song of Names,2019,116672.23490493314,0.05149598789402073,0.5655382884604698
312,The Social Network,2010,12033954.432895279,0.32589471222594474,-0.01354122248808698
313,The Smurfs 2,2013,8577614.402258502,0.23325853017907977,0.4838144049113731
314,The Smurfs,2011,17828766.128953923,0.39038547671418156,-0.011929944651485724
315,The Skin I Live In,2011,398555.78143804264,0.0762894884537001,0.42363394486870326
316,The Skeleton Twins,2014,637076.4450012823,0.12568466356023633,0.6134176926954531
317,The Sitter,2011,3850800.0031693582,0.43398145195462606,-0.010220471264367093
318,The Sisters Brothers,2018,341372.4237359741,0.028097832158252112,1.0639596987697921
319,The Silence,2013,11645.022640738685,0.12351471296956949,0.2811336141074615
320,The Sicilian Girl,2010,9416.626223359519,0.04594760112941488,0.32346863576654206
321,The Shape of Water,2017,7058679.695775902,0.03840482301420379,0.3068330913425717
322,The Shallows,2016,6347046.907646392,0.4772900503825549,0.0927833666316516
323,The Shack,2017,6414868.422669709,0.38522156970116656,0.05904729121908564
324,The Seventh Fire,2016,3903.3505927136557,0.38304418752921676,-0.3420982908759844
325,The Sessions,2012,719986.8628483837,0.05617561009692299,0.5724376218093037
326,The Secrets of Jonath…,2010,407018.4861454957,-4.6534909407676155,1.3308296616822033e-05
327,The Secret of Kells,2010,91263.56485523371,0.05348560244048611,0.14428156566018435
328,The Secret in Their Eyes,2010,808795.7005143703,0.05048227734682463,0.28435565371555477
329,The Secret World of A…,2012,2376789.677826021,0.5388535567816763,0.038435931826336756
330,The Secret Life of Wa…,2013,7028612.943866756,0.27938419992627544,0.6321227825694119
331,The Secret Life of Pe…,2019,17248726.027896624,0.4329437033443811,-0.06978035866071824
332,The Secret Life of Pets,2016,42539280.62436341,0.41428255851638746,-0.11242925926453123
333,The Second Mother,2015,43816.98928758937,0.13582018148603817,0.3910351889571767
334,The Second Best Exoti…,2015,3913414.410053566,0.3744641925614437,0.08073150910366422
335,The Seagull,2018,138323.411752973,0.07073342553985482,0.4895992965970384
336,The Saratov Approach,2013,277496.5603454678,0.08265841201116819,0.0884045205262876
337,The Sapphires,2013,294963.38295733,0.0713193807041618,0.34103319236646423
338,The Salvation Poem,2010,7018.526676754414,-0.0851247874048534,2.915163059886254e-07
339,The Salt of the Earth,2015,159052.8795926645,0.039089853886719,0.39465905376636423
340,The Salt of Life,2012,40064.10807446408,0.10271437559360057,0.18624799543547838
341,The Runaways,2010,477774.8969519471,0.2855343661904285,-0.04176573128985345
342,The Romans,2016,590.2219232858522,-0.6100504698150484,0.00018713809549457828
343,The Rocket,2014,9920.603166844152,0.08178474955870585,-0.031052371190965378
344,The Robber,2011,10095.456419803051,0.05670995459424128,0.2693675065160512
345,The Road,2009,1016081.9150308878,0.0037545482762977233,0.5726311688083873
346,The Rite,2011,4174512.4070718936,0.5451614589621613,-0.022423930917816248
347,The Rider,2018,262307.64223253296,0.04337880895920901,0.43391964763842406
348,The Revisionaries,2012,2562.956317155675,0.22294902570321648,0.3847866690479491
349,The Revenant,2015,20973296.741907816,0.1159229304376436,0.37559886087972016
350,The Retrieval,2014,6995.041562038431,0.06889146398751232,0.21062107894100668
351,The Rental,2020,178318.049862415,0.3723257052039059,0.09697149427587831
352,The Red Turtle,2017,99577.84484534482,0.01758784285305065,0.6064125093169184
353,The Red Riding Trilogy,2010,3187.8688303381964,-0.23581287695520892,6.60894561970451e-06
