,title,year,M,p,q
911,Rise of the Guardians,2012,12620013.828447886,0.15837173905006552,0.2851952971772555
912,Rio 2,2014,15996411.192687953,0.40789527423867294,-0.11317902377909689
913,Rio,2011,17999614.51243949,0.3864671612032511,-0.055787187315407494
914,Rififi,2015,327630.2010309324,-10.536026521357856,8.474786505997429e-05
915,Ride Along 2,2016,10743287.254966313,0.49452177006155523,-0.2505734744241928
916,Ride Along,2014,16906745.255246293,0.38963783913652694,-0.16595547394597787
917,Return of the Hero,2018,173.18491117356677,-0.07233781066429683,2.1905019025372214e-05
918,Restrepo,2010,168051.32695760846,0.06532277490573733,0.28933499370607735
919,Restless Creature: We…,2017,15753.407749033155,0.13660232086152818,0.43989810015286135
920,Restless,2011,20201.916855885316,0.11973043113254805,0.7821809182109103
921,Requiem For the Ameri…,2016,14253.130823522477,0.06089852495648802,0.4149370615560078
922,Renoir,2013,272466.7834694323,0.05012483732015112,0.25882985357128707
923,Remember,2015,61277.52953542074,0.16212690474155078,0.4029232482582268
924,Relic,2020,113747.59745907366,0.32626338495820434,0.4125313260368429
925,Rejoice and Shout,2011,12607.702833187042,0.10624517316753813,0.29650441800373695
926,Redwood Highway,2014,16082.389465572525,0.041934939773971856,0.4099381475976985
927,Redoubt,2019,1028.1900289411087,-0.5702265481464689,9.013396806070935e-05
928,Red Tails,2012,6255418.701280692,0.4702373489074556,0.026833366171365225
929,Red Sparrow,2018,5145330.70794104,0.4885606990865381,0.0713063833557731
930,Red Riding Hood,2011,4745200.629872825,0.4949048065884157,0.056743226153932014
931,Red Joan,2019,170506.967605678,0.09362516126710643,0.7177831199613386
932,Red Hook Summer,2012,41961.644347508,0.13481369140483873,0.6839880493155159
933,Red Dawn,2012,5452098.596981735,0.24434442807816695,0.5338700205697318
934,Red Cliff,2009,68911.53070760201,-1.6620397361355643,1.0059627609686363e-05
935,Red,2010,11399572.46962495,0.3107970104513322,0.09543604217263019
936,Recorder: The Marion …,2019,1765.9735360176737,-0.6602098206281615,6.90491001039286e-05
937,Reality,2013,9811.386008267702,0.1269362195214396,0.5857439844494312
938,Real Steel,2011,10651729.988669746,0.4183446279711557,0.024707594728783644
939,Ready or Not,2019,3093578.129449842,0.2063991117706422,0.9219788700614344
940,Ready Player One,2018,14829017.354634166,0.2351250768372544,0.5606743707642846
941,Raya and the Last Dragon,2021,6317165.56294293,0.17863142387091915,-0.07268699489841676
942,Raw Faith,2010,1311.0494124365327,-0.9671457944896976,0.00019625497860503125
943,Rapt,2011,5528.732329626312,0.1598806479785032,0.10261083313551328
944,Rango,2011,15381746.95599524,0.3740656493625957,0.1050632875943045
945,Ran,2010,2101.633349862061,-0.29877186538014694,1.1892233937505363e-05
946,Rams,2016,19611.44019012143,0.08947120619736473,0.15254951707282127
947,Rampart,2012,119302.06504418456,0.13316643683150728,0.32993326194761124
948,Rampage,2018,10761440.822322898,0.47070554312839236,-0.08224312148360863
949,Ramona and Beezus,2010,3283959.452699788,0.49186388877635695,-0.012037342282001318
950,Ramen Shop,2019,9358.60809962943,0.06671613566455538,0.4083244512761571
951,Ralph Breaks The Inte…,2018,21729926.031731345,0.22202929057002294,0.18097439889354777
952,Raise Hell: The Life …,2019,82377.61868667306,0.16549188359104658,0.017796003233085306
953,Raiders! The Story of…,2016,4128.231947390516,-0.9085925806212988,5.2226798655639524e-05
954,Rafiki,2019,15273.731857479435,0.19956787731776238,0.09631270455396528
955,Radio Unnameable,2012,2629.742413474123,0.27908175140701286,0.29017925504046704
956,Radio Dreams,2017,3173.2669396832225,0.3136583703683832,-0.11222398420672908
957,"Rabin, The Last Day",2016,3507.9627002274347,0.38541761107147343,-0.25000926864203343
958,Rabbit Hole,2010,278161.24551483203,0.0625267082015347,0.38150623647096826
959,RED 2,2013,6497106.5253673475,0.4851584674845061,0.07542988205264922
960,RBG,2018,1526672.21726298,0.10096602522619433,0.2493332517680291
961,R.I.P.D.,2013,4079288.7036008295,0.5586571876614322,0.14701991157017125
962,Queen to Play,2011,66285.58500229054,0.05854490697064584,0.09015844763205198
963,Queen of the Sun,2010,915.5081924542254,-0.01572580310080427,4.639010997491814e-07
964,Queen of the Lot,2010,4562.659980341714,-0.3647846097050054,7.925006790573012e-06
965,Queen & Slim,2019,4737271.287368167,0.21010006687572624,0.42167467064685715
966,Quartet,2013,2240301.3348055976,0.04008091969494364,0.3383367633952033
967,Puzzle,2018,219772.62646072338,0.051968899066939606,0.7404491370957872
968,Putty Hill,2011,6043.624554265547,0.1619900717398499,0.21616696212803432
969,Puss in Boots,2011,18508184.236320212,0.29704011895099003,0.251865942226384
970,Promising Young Woman,2020,783949.1763293423,0.17295799010845953,-0.09043551476018513
971,Promised Lands,2010,257.3031314604058,-1.006883751146984,0.0010928399002374564
972,Prometheus,2012,15873221.189438598,0.5429001291976774,-0.03241690355817528
973,Promare,2019,72427.14780349378,-0.5136135202944392,9.220718907216044e-07
974,Project X,2012,6848017.404411488,0.5257435579550136,0.1054392377273694
975,Project Nim,2011,50900.629978276665,0.1489511077328978,0.21844214819927005
976,Prodigal Sons,2010,8964.06251185814,0.1722489606335439,0.33825269882717
977,Prisoners,2013,7536873.246867724,0.4511169745660676,-0.03726883019628929
978,Princess Kaiulani,2010,110137.02854980741,0.3254829842393888,0.1343591342197025
979,Prince of Persia: San…,2010,11497372.501091553,0.501764919379013,-0.101269337161639
980,Prince Avalanche,2013,25030.586561714663,0.28793896254260626,0.010847243749327495
981,Presenting Princess Shaw,2016,1119.643429611871,-0.23373381268435955,1.8569652704848003e-05
982,Predators,2010,6571204.440293851,0.6419351950489269,-0.11943992477322463
983,Precious (Based on th…,2009,12416284.445492748,-4.091727307712183,3.377806071609331e-07
984,Preacher's Kid,2010,69356.22227219823,0.4363983858899936,-0.284251075943581
985,Pray: The Story of Pa…,2020,7943.59971565457,0.4553157302952476,-0.1130920590751921
986,Power Rangers,2017,9516141.154000038,0.5920201015190929,-0.09772331421526803
987,Poupoupidou (Nobody E…,2012,408.579897078517,-0.07991479829493783,9.214970218713043e-06
988,Potiche,2011,203654.53833964895,0.08441354342740257,0.3255608190178531
989,Pop Aye,2017,8497.023446370167,0.11270669004896268,0.18124409604220182
990,Poor Boy,2018,3464.6315386383835,0.4674504568516672,-0.2747863451522268
991,Poltergeist,2015,5607216.392266524,0.6446115138207118,0.025878707211347107
992,Police Story/Police S…,2019,4090.22079662155,-0.7065771404030475,3.439599898403224e-05
993,PokÃ©mon: Detective Pi…,2019,15744227.278115243,0.4773526496753962,-0.00928840157865607
994,Point Blank,2011,88618.0772000681,0.09427865656273544,0.29871435705156607
995,Poetry,2011,44926.66111024486,0.08241441493168272,0.16036599007761013
996,Please Give,2010,506538.89702047454,0.07192474490722921,0.438655671868055
997,Playing for Keeps,2012,1597392.687767737,0.5975508180324387,0.4209313253542816
998,Play the Flute,2019,2546.678014679176,-0.19843713108170066,4.474780202053904e-06
999,Planet 51,2009,5362573.966093387,-1.779964050291544,2.1191665415015772
1000,Planes: Fire and Rescue,2014,7200972.203915824,0.4381765692289854,0.08116200425529824
1001,Pixels,2015,9342001.275179096,0.4494005478180712,-0.16944244985809637
1002,Pitch Perfect 3,2017,11491775.869609628,0.45357448651468923,0.08991208610020163
1003,Pitch Perfect 2,2015,21859353.441016287,0.4764853380908423,-0.058697765382426936
1004,Pitch Perfect,2012,7990391.168342885,0.19212753073492003,0.31403818001732864
1005,Pirates of the Caribb…,2011,23533265.956878465,0.5239403661304374,-0.44228796695097716
1006,Piranhas,2019,2293.263804262194,0.3537335117557773,0.3498155211337799
1007,Piranha 3D,2010,3172514.1495696483,0.5558395876557747,0.05738952834549915
1008,Pinocchio,2020,204121.27841806857,0.26459083512056514,0.08651382901634166
1009,"Pink Ribbons, Inc.",2012,3579.615132468609,0.16683523285164203,0.05112515057110559
1010,Pina,2011,441264.6374841601,0.024255302828386005,0.3794768956938955
1011,Pick of the Litter,2018,57875.743660328255,0.08322332507950399,0.6622294136166297
1012,Pianomania,2011,7077.2259053970065,0.05311085832701402,0.1259279555927437
1013,"Phoenix, Oregon",2019,351.7127237935108,-0.16301597407997825,6.374774609320485e-05
1014,Phoenix,2015,370178.8338182483,0.02745350452286744,0.6857518880376834
1015,Philomena,2013,4793716.864997165,0.07321546191494555,0.09459656779932217
1016,Phil Ochs: There but …,2010,33048.47384721448,0.025318537196624073,0.19778312917079457
1017,Phantom Thread,2017,2274200.771308433,0.04538195978798113,0.6243054043453325
1018,Peteâs Dragon,2016,8828129.471003255,0.40760770859062084,-0.0500624446638272
1019,Peter Rabbit,2018,12701468.893185852,0.2743494087961725,0.08005702765095213
1020,Personal Shopper,2017,143724.99717541615,0.11441951542485915,0.5995794695794007
1021,Percy Jackson: Sea of…,2013,8317807.515546383,0.20900129507639253,0.27196453630222567
1022,Percy Jackson & the O…,2010,11242081.846187202,0.4877900678297244,-0.13571292700028853
1023,Percy,2020,8079.309216078521,0.1745537556615826,0.4053246655094903
1024,Penguins of Madagascar,2014,9812697.262790347,0.2164504369731545,0.29358085355462515
1025,Pawn Sacrifice,2015,284628.14281350345,0.16248503878523485,1.4194051783577144
1026,Pavarotti,2019,495235.45309989236,0.0769755170457714,0.6257185888188849
1027,Paul Goodman Changed …,2011,4867.1307371694,0.18096606738100138,-0.07320741607957901
1028,Paul Blart: Mall Cop 2,2015,8407055.67332192,0.4047709914296904,-0.07132124444163007
1029,Patriots Day,2016,3492390.65843108,0.09862528257938682,0.8611479789238787
1030,Paths of the Soul,2016,677.4884383874437,-0.488817159964855,0.00010310607051381579
1031,Paterson,2016,240054.45685946525,0.03172176856059472,0.42212779557777586
1032,Passengers,2016,10987237.665659862,0.21248579668829057,0.6125322735909767
1033,Pasolini,2019,1513.8590776722833,-0.8962958507260007,0.00014013207260526922
1034,Particle Fever,2014,106567.82979622079,0.11570178888049458,0.23865443739969608
1035,Parker,2013,2164190.7736177444,0.5225145514549144,0.13177405650362506
1036,Paris Can Wait,2017,620161.5830000583,0.03684120712618631,0.5449965606929866
1037,Pariah,2011,89657.45477170825,0.09706653786749496,0.5067625542895264
1038,Parental Guidance,2012,9397860.108944893,0.26345971162416115,0.28021475247683747
1039,Parasite,2019,28916463.430634066,0.006755231559519306,0.039309781195295025
1040,Paranormal Activity: …,2014,1858927.7751884367,-1.0428610504913363,1.521942165465347e-07
1041,Paranormal Activity 4,2012,6787612.364802175,0.6278130062897811,-0.07318488278134494
1042,Paranormal Activity 3,2011,13114058.97146146,0.6032911880922536,-0.022430814938176225
1043,Paranormal Activity 2,2010,10718754.330013065,0.580891728248106,0.02079447867523998
1044,ParaNorman,2012,7018396.994659076,0.3460530300474547,0.03137279013166011
1045,Papi Chulo,2019,9132.383917613273,0.123847449806451,0.7271590221824242
