,tconst,title,released,nconst,primaryName,boxoffice,inf_adj_boxoffice,cr,wicar
0,tt0430308,Get Rich or Die Tryin',11-09-2005,nm1265067,50 Cent,"$30,985,352",41446006.84,0,0
1,tt0763840,Home of the Brave,01-05-2007,nm1265067,50 Cent,"$51,708",66982.5432,30985352,281096.3811
2,tt1034331,Righteous Kill,09-12-2008,nm1265067,50 Cent,"$40,081,410",51075740.76,31037060,300862.9965
3,tt9121846,Streetz Incarcerated Vol 4,07-14-2009,nm1265067,50 Cent,0,0,71118470,1136546.858
4,tt1311699,Dead Man Running,10-30-2009,nm1265067,50 Cent,0,0,71118470,984371.1686
5,tt1606390,All Things Fall Apart,03-05-2011,nm1265067,50 Cent,0,0,71118470,2008920.752
6,tt1748197,Setup,10-13-2011,nm1265067,50 Cent,0,0,71118470,2008920.752
7,tt1449379,Caught in the Crossfire,11-22-2012,nm1265067,50 Cent,0,0,71118470,2869886.789
8,tt1815708,Freelancers,01-12-2013,nm1265067,50 Cent,0,0,71118470,4099838.27
9,tt1211956,Escape Plan,10-18-2013,nm1265067,50 Cent,"$25,135,965",29378915.89,71118470,4099838.27
10,tt1560954,Gun,09-05-2015,nm1265067,50 Cent,0,0,96254435,11823416.95
11,tt0485920,Vengeance,05-05-2016,nm1265067,50 Cent,0,0,96254435,16177482.89
12,tt1259528,Den of Thieves,01-19-2018,nm1265067,50 Cent,"$44,947,622",47792806.47,96254435,33015271.21
13,tt6772804,Escape Plan: The Extractors,06-27-2019,nm1265067,50 Cent,0,0,141202057,70583148.32
14,tt6618142,THE MASTER,11-09-2017,nm3356788,A.J. Knapp,0,0,0,0
36,tt1347280,Pendragon: Sword of His Father,11-01-2008,nm3260275,Aaron Burns,0,0,0,0
38,tt1691449,Blacktino,02-11-2013,nm2746751,Aaron Burns,0,0,0,0
39,tt3512634,Beasts,10-14-2014,nm6558219,Aaron Burns,0,0,0,0
40,tt2403021,The Green Inferno,09-25-2015,nm2746751,Aaron Burns,"$7,192,291",8102835.041,0,0
37,tt3605418,Knock Knock,10-09-2015,nm2746751,Aaron Burns,"$36,336",40936.1376,7192291,953290.4397
41,tt5707304,Madre,04-27-2017,nm2746751,Aaron Burns,0,0,7228627,1736697.836
43,tt0119361,In the Company of Men,08-01-1997,nm0001173,Aaron Eckhart,"$2,804,473",4224658.127,0,0
60,tt0119517,Your Friends and Neighbors,08-21-1998,nm0001173,Aaron Eckhart,"$4,714,658",7002681.527,2804473,1156.236009
64,tt0124901,Thursday,09-25-1998,nm0001173,Aaron Eckhart,"$3,121",4635.6213,7519131,2684.095344
44,tt0143746,Molly,07-01-1999,nm0001173,Aaron Eckhart,"$17,650",25843.13,7522252,2941.65811
72,tt0256276,Possession,08-30-2002,nm0001173,Aaron Eckhart,"$10,113,733",14168328.56,7539902,8603.994524
70,tt0298814,The Core,03-28-2003,nm0001173,Aaron Eckhart,"$31,186,896",43031679.1,17653635,35349.97783
63,tt0338337,Paycheck,12-25-2003,nm0001173,Aaron Eckhart,"$53,790,451",74220064.29,48840531,98820.79068
67,tt0324127,Suspect Zero,08-27-2004,nm0001173,Aaron Eckhart,"$8,725,813",11855762.12,102630982,286276.4953
52,tt0427944,Thank You for Smoking,04-14-2006,nm0001173,Aaron Eckhart,"$24,793,509",32640654.6,111356795,543532.8598
46,tt0418004,Neverwas,08-04-2006,nm0001173,Aaron Eckhart,0,0,136150304,683636.7492
54,tt0387877,The Black Dahlia,09-15-2006,nm0001173,Aaron Eckhart,"$22,545,080",29680597.82,136150304,646381.9428
57,tt0435623,Conversations with Other Women,05-18-2007,nm0001173,Aaron Eckhart,"$379,418",491498.0772,158695384,1124703.438
68,tt0481141,No Reservations,07-27-2007,nm0001173,Aaron Eckhart,"$43,107,979",55842076,159074802,1079642.163
56,tt0790623,Bill,06-18-2008,nm0001173,Aaron Eckhart,"$62,597",79767.3571,202182781,2082308.363
55,tt0468569,The Dark Knight,07-18-2008,nm0001173,Aaron Eckhart,"$534,858,444",681570115.2,202245378,1959701.815
65,tt0787523,Nothing Is Private,09-26-2008,nm0001173,Aaron Eckhart,"$372,124",474197.6132,737103822,8563200.852
59,tt0899106,Love Happens,09-18-2009,nm0001173,Aaron Eckhart,"$22,965,110",28779875.85,737475946,10209029.2
69,tt0935075,Rabbit Hole,01-28-2011,nm0001173,Aaron Eckhart,"$2,229,058",2699389.238,760441056,21644830.41
50,tt1217613,Battle: Los Angeles,03-11-2011,nm0001173,Aaron Eckhart,"$83,552,429",101181991.5,762670114,21556828.73
71,tt0376136,The Rum Diary,10-28-2011,nm0001173,Aaron Eckhart,"$13,109,815",15875985.97,846222543,24401683.86
66,tt1645155,Erased,09-26-2012,nm0001173,Aaron Eckhart,0,0,859332358,34788785.23
61,tt2302755,Olympus Has Fallen,03-22-2013,nm0001173,Aaron Eckhart,"$98,925,640",115624288,859332358,49538800.37
62,tt1418377,"I, Frankenstein",01-24-2014,nm0001173,Aaron Eckhart,"$19,075,290",21892710.33,958257998,80291872.11
51,tt3719896,My All-American,11-13-2015,nm0001173,Aaron Eckhart,"$2,246,000",2530343.6,977333288,115313750.7
48,tt3300542,London Has Fallen,03-04-2016,nm0001173,Aaron Eckhart,"$62,524,260",69120569.43,979579288,164685680.6
49,tt3263904,Sully,09-09-2016,nm0001173,Aaron Eckhart,"$125,070,033",138264921.5,1042103548,176254985
58,tt1620935,Bleed for This,11-18-2016,nm0001173,Aaron Eckhart,"$5,083,906",5620258.083,1167173581,198384528.7
45,tt3216348,Incarnate,12-02-2016,nm0001173,Aaron Eckhart,"$4,799,774",5306150.157,1172257487,197111460.5
53,tt3541524,Line of Duty,11-15-2019,nm0001173,Aaron Eckhart,"$8,207",8553.3354,1177057261,577006182.2
47,tt9689696,Wander,12-04-2020,nm0001173,Aaron Eckhart,0,0,1177065468,823946070
92,tt0884214,Wreckage,12-30-1899,nm0666739,Aaron Paul,0,0,0,0
93,tt9005184,Dual,12-30-1899,nm0666739,Aaron Paul,0,0,0,0
74,tt0765439,Daydreamer,01-01-2007,nm0666739,Aaron Paul,0,0,0,0
88,tt0457302,Choking Man,11-14-2008,nm0666739,Aaron Paul,"$5,474",6975.5182,0,0
85,tt2063781,Smashed,12-14-2012,nm0666739,Aaron Paul,"$376,597",448112.7703,5474,281.4873201
87,tt2369135,Need for Speed,03-14-2014,nm0666739,Aaron Paul,"$43,577,636",50014052.84,382071,37354.82096
75,tt1464191,Decoding Annie Parker,05-02-2014,nm0666739,Aaron Paul,"$48,390",55537.203,43959707,4150337.501
78,tt0458413,A Long Way Down,06-05-2014,nm0666739,Aaron Paul,"$13,347",15318.3519,44008097,3624844.626
84,tt3186318,Hellion,06-13-2014,nm0666739,Aaron Paul,"$55,708",63936.0716,44021444,3625517.555
83,tt2049636,Unity,08-12-2015,nm0666739,Aaron Paul,0,0,44077152,5186600.88
91,tt1712261,Triple 9,02-26-2016,nm0666739,Aaron Paul,"$12,639,297",13972742.83,44077152,7408046.937
73,tt2057392,Eye in the Sky,04-01-2016,nm0666739,Aaron Paul,"$18,704,595",20677929.77,56716449,9756445.825
79,tt2582502,Fathers & Daughters,07-08-2016,nm0666739,Aaron Paul,0,0,75421044,13007673.24
80,tt5595168,Kingsglaive: Final Fantasy XV,07-09-2016,nm0666739,Aaron Paul,"$269,980",298462.89,75421044,12676014.87
76,tt3991412,The 9th Life of Louis Drax,09-02-2016,nm0666739,Aaron Paul,0,0,75691024,12726177.52
81,tt2597768,Come and Find Me,11-11-2016,nm0666739,Aaron Paul,0,0,75691024,12721390.4
89,tt6829180,Welcome Home,11-16-2018,nm0666739,Aaron Paul,0,0,75691024,25962021.23
86,tt4465572,American Woman,06-14-2019,nm0666739,Aaron Paul,"$236,637",246623.0814,75691024,37088601.76
82,tt9243946,El Camino: A Breaking Bad Movie,10-11-2019,nm0666739,Aaron Paul,0,0,75927661,37209447.07
77,tt4827922,The Parts You Lose,12-03-2019,nm0666739,Aaron Paul,0,0,75927661,37204553.89
90,tt1715344,Quad,05-21-2020,nm0666739,Aaron Paul,0,0,75927661,53149362.7
107,tt0288263,Tom & Thomas,01-24-2002,nm1093951,Aaron Taylor-Johnson,0,0,0,0
98,tt0300471,Shanghai Knights,02-07-2003,nm1093951,Aaron Taylor-Johnson,"$60,476,872",83445987.99,0,0
94,tt0397386,Dead Cool,09-01-2005,nm1093951,Aaron Taylor-Johnson,0,0,60476872,277315.4725
101,tt0430674,The Thief Lord,03-14-2006,nm1093951,Aaron Taylor-Johnson,0,0,60476872,287117.6697
109,tt0963743,"Angus, Thongs and Perfect Snogging",07-25-2008,nm1093951,Aaron Taylor-Johnson,0,0,60476872,585954.4281
110,tt1083450,Dummy,06-26-2009,nm1093951,Aaron Taylor-Johnson,0,0,60476872,837077.7544
95,tt1226232,The Greatest,11-05-2009,nm1093951,Aaron Taylor-Johnson,"$114,766",143824.7512,60476872,837077.7544
108,tt1266029,Nowhere Boy,12-25-2009,nm1093951,Aaron Taylor-Johnson,"$1,457,248",1826223.194,60591638,839068.4741
102,tt1250777,Kick-Ass,04-16-2010,nm1093951,Aaron Taylor-Johnson,"$48,071,303",59228652.43,62048886,1234205.062
106,tt1602098,Albert Nobbs,02-22-2012,nm1093951,Aaron Taylor-Johnson,"$3,014,696",3587186.77,110120189,4893986.124
97,tt1615065,Savages,07-06-2012,nm1093951,Aaron Taylor-Johnson,"$47,382,068",56379922.71,113134885,4588502.755
99,tt1781769,Anna Karenina,09-07-2012,nm1093951,Aaron Taylor-Johnson,"$12,816,367",15250195.09,160516953,6840533.931
103,tt1650554,Kick-Ass 2,08-16-2013,nm1093951,Aaron Taylor-Johnson,"$28,795,985",33656747.27,173333320,10132626.31
104,tt0831387,Godzilla,05-16-2014,nm1093951,Aaron Taylor-Johnson,"$200,676,069",230315924.4,202129305,17046522.1
100,tt4550098,Nocturnal Animals,12-09-2016,nm1093951,Aaron Taylor-Johnson,"$10,663,357",11788341.16,402805374,72681069.7
105,tt4218696,The Wall,05-18-2017,nm1093951,Aaron Taylor-Johnson,"$1,803,064",1955242.602,413468731,99543951.01
96,tt0427543,A Million Little Pieces,12-06-2019,nm1093951,Aaron Taylor-Johnson,0,0,415271795,203557747.1
111,tt2105043,Upside Down,08-04-2012,nm4847392,Aartis Athavle,0,0,0,0
119,tt0264355,American Chai,01-25-2001,nm0541902,Aasif Mandvi,"$127,518",181330.596,0,0
120,tt0282771,The Mystic Masseur,03-29-2002,nm0541902,Aasif Mandvi,"$399,110",559113.199,127518,206.6968458
112,tt0425600,"Sorry, Haters",03-01-2006,nm0541902,Aasif Mandvi,"$7,129",9385.3285,526628,3259.823852
118,tt0170367,Peroxide Passion,07-22-2008,nm0541902,Aasif Mandvi,0,0,533757,5193.380096
115,tt1153053,Today's Special,11-11-2009,nm0541902,Aasif Mandvi,"$317,831",398305.8092,533757,7387.883933
113,tt1014808,The Understudy,11-02-2012,nm0541902,Aasif Mandvi,"$17,036",20271.1364,851588,37612.0963
114,tt2234155,The Internship,06-07-2013,nm0541902,Aasif Mandvi,"$44,672,764",52213526.56,868624,50260.94421
116,tt1647668,Million Dollar Arm,05-16-2014,nm0541902,Aasif Mandvi,"$36,457,627",41842418.51,45541388,4371543.352
117,tt6122540,Undecided: The Movie,10-18-2016,nm0541902,Aasif Mandvi,0,0,81999015,14686596.36
124,tt0259442,The Monkey's Mask,05-10-2001,nm0180411,Abbie Cornish,0,0,0,0
130,tt0381429,Somersault,09-16-2004,nm0180411,Abbie Cornish,"$92,214",125291.1618,0,0
136,tt0424880,Candy,05-25-2006,nm0180411,Abbie Cornish,"$45,128",59411.012,92214,594.8274973
125,tt0401445,A Good Year,11-10-2006,nm0180411,Abbie Cornish,"$7,459,300",9820168.45,137342,719.8490709
137,tt0489281,Stop-Loss,03-28-2008,nm0180411,Abbie Cornish,"$10,915,744",13909932.58,7596642,96477.33336
123,tt0810784,Bright Star,10-09-2009,nm0180411,Abbie Cornish,"$4,444,637",5570019.088,18512386,297678.6755
132,tt1219289,Limitless,03-18-2011,nm0180411,Abbie Cornish,"$79,249,455",95971090.01,22957023,680268.3374
135,tt0978764,Sucker Punch,03-25-2011,nm0180411,Abbie Cornish,"$36,392,502",44071319.92,102206478,3359424.833
133,tt1536048,W.E.,01-20-2012,nm0180411,Abbie Cornish,"$583,455",694253.1045,138598980,5902836.77
122,tt1127883,The Girl,12-06-2013,nm0180411,Abbie Cornish,"$35,048",40964.1024,139182435,8029977.695
126,tt1234721,RoboCop,02-12-2014,nm0180411,Abbie Cornish,"$58,607,007",67263261.93,139217483,11465645.58
127,tt2960938,Out & Around,03-13-2015,nm0180411,Abbie Cornish,0,0,197824490,24292253.16
129,tt1291570,Solace,12-16-2016,nm0180411,Abbie Cornish,0,0,197824490,33248362.03
121,tt4680980,Lavender,03-03-2017,nm0180411,Abbie Cornish,0,0,197824490,47497660.05
138,tt2850480,The Girl Who Invented Kissing,04-29-2017,nm0180411,Abbie Cornish,0,0,197824490,47497660.05
131,tt4703048,6 Days,08-18-2017,nm0180411,Abbie Cornish,0,0,197824490,47497660.05
134,tt1981128,Geostorm,10-20-2017,nm0180411,Abbie Cornish,"$33,700,160",36544453.5,197824490,47497660.05
128,tt1235187,Where Hands Touch,09-14-2018,nm0180411,Abbie Cornish,"$67,743",72031.1319,231524650,80388547.62
139,tt4136456,The Virtuoso,04-30-2021,nm0180411,Abbie Cornish,0,0,231592393,231596681.1
140,tt9001594,Home,12-15-2020,nm10123395,Abby Rey,0,0,0,0
142,tt13409032,The Factory,02-28-2021,nm10123395,Abby Rey,0,0,0,0
141,tt14377944,The Junky Warrior,05-15-2021,nm10123395,Abby Rey,0,0,0,0
143,tt4103724,Forever My Girl,01-19-2018,nm5338858,Abby Ryder Fortson,"$16,376,066",17412670.98,0,0
144,tt14151124,Salt,03-16-2021,nm12364577,Abdul Mujeer,0,0,0,0
164,tt13128748,Rock the Shaadi,12-30-1899,nm1867717,Abhay Deol,0,0,0,0
146,tt0451919,Socha Na Tha,03-04-2005,nm1867717,Abhay Deol,0,0,0,0
152,tt0831840,Ahista Ahista,08-18-2006,nm1867717,Abhay Deol,0,0,0,0
159,tt0808306,Honeymoon Travels Pvt. Ltd.,02-23-2007,nm1867717,Abhay Deol,0,0,0,0
153,tt0995718,Ek Chalis Ki Last Local,05-18-2007,nm1867717,Abhay Deol,0,0,0,0
158,tt0920464,Manorama: Six Feet Under,09-21-2007,nm1867717,Abhay Deol,0,0,0,0
161,tt1292703,Oye Lucky! Lucky Oye!,11-28-2008,nm1867717,Abhay Deol,"$80,037",101991.1491,0,0
149,tt1327035,Dev.D,02-06-2009,nm1867717,Abhay Deol,"$18,613",23325.8116,80037,1411.688787
147,tt1190894,"Road, Movie",05-05-2010,nm1867717,Abhay Deol,0,0,98650,2043.820516
148,tt1509732,Aisha,08-06-2010,nm1867717,Abhay Deol,0,0,98650,1950.632832
151,tt1562872,Zindagi Na Milegi Dobara,07-15-2011,nm1867717,Abhay Deol,"$3,108,485",3764375.335,98650,2786.618331
150,tt2072227,Shanghai,06-08-2012,nm1867717,Abhay Deol,0,0,3207135,155887.0062
160,tt2292625,Chakravyuh,10-24-2012,nm1867717,Abhay Deol,"$151,778",180600.6422,3207135,129419.4654
162,tt2951576,One by Two,01-31-2014,nm1867717,Abhay Deol,0,0,3358913,278994.5974
154,tt5472758,Happy Bhag Jayegi,08-19-2016,nm1867717,Abhay Deol,"$351,840",388959.12,3358913,564532.5079
155,tt7412738,Nanu Ki Jaanu,04-20-2018,nm1867717,Abhay Deol,0,0,3710753,1285520.137
163,tt10243678,Chopsticks,05-31-2019,nm1867717,Abhay Deol,0,0,3710753,1818268.97
145,tt2257284,Line of Descent,12-04-2019,nm1867717,Abhay Deol,0,0,3710753,1818268.97
156,tt10709232,Hero,12-20-2019,nm1867717,Abhay Deol,0,0,3710753,1818268.97
157,tt12327140,What are the Odds?,05-20-2020,nm1867717,Abhay Deol,0,0,3710753,2597527.1
211,tt14107554,Dasvi,12-30-1899,nm0045393,Abhishek Bachchan,0,0,0,0
210,tt0250690,Refugee,06-30-2000,nm0045393,Abhishek Bachchan,"$590,000",851429,0,0
193,tt0250774,Tera Jadoo Chal Gayaa,08-18-2000,nm0045393,Abhishek Bachchan,"$365,318",527190.4058,590000,475.5621465
209,tt0255112,Dhaai Akshar Prem Ke,09-29-2000,nm0045393,Abhishek Bachchan,0,0,955318,624.0020806
173,tt0283911,Bas Itna Sa Khwaab Hai...,07-06-2001,nm0045393,Abhishek Bachchan,0,0,955318,762.2698825
190,tt0308347,Haan Maine Bhi Pyaar Kiya,02-15-2002,nm0045393,Abhishek Bachchan,0,0,955318,1088.956975
177,tt0327071,Om Jai Jagadish,07-08-2002,nm0045393,Abhishek Bachchan,0,0,955318,1088.956975
182,tt0284479,Shararat,07-12-2002,nm0045393,Abhishek Bachchan,0,0,955318,1088.956975
206,tt0265148,Main Prem Ki Diwani Hoon,06-27-2003,nm0045393,Abhishek Bachchan,"$1,232,228",1700228.194,955318,1555.652822
200,tt0363833,Mumbai Se Aaya Mera Dost,08-22-2003,nm0045393,Abhishek Bachchan,0,0,2187546,4324.327533
203,tt0369637,Kuch Naa Kaho,08-26-2003,nm0045393,Abhishek Bachchan,"$224,831",310221.8138,2187546,3562.229652
204,tt0382385,Zameen,09-26-2003,nm0045393,Abhishek Bachchan,0,0,2412377,4067.399072
187,tt0411815,Run,05-14-2004,nm0045393,Abhishek Bachchan,0,0,2412377,5611.925014
198,tt0382383,Yuva,05-21-2004,nm0045393,Abhishek Bachchan,"$331,166",449955.2442,2412377,5611.925014
186,tt0422950,Phir Milenge,08-13-2004,nm0045393,Abhishek Bachchan,"$91,968",124956.9216,2743543,6658.658212
205,tt0422091,Dhoom,08-27-2004,nm0045393,Abhishek Bachchan,"$245,756",333908.6772,2835511,6673.006111
184,tt0433605,Dance,11-12-2004,nm0045393,Abhishek Bachchan,0,0,3081267,7373.037285
207,tt0448206,Bunty Aur Babli,05-27-2005,nm0045393,Abhishek Bachchan,"$942,756",1261030.426,3081267,10239.95323
166,tt0432047,Sarkar,07-01-2005,nm0045393,Abhishek Bachchan,0,0,4024023,14430.72689
178,tt0415768,Dus,07-08-2005,nm0045393,Abhishek Bachchan,0,0,4024023,13373.0077
208,tt0454391,Antarmahal: Views of the Inner Chamber,10-28-2005,nm0045393,Abhishek Bachchan,0,0,4024023,13373.0077
179,tt0470869,Neal 'N' Nikki,12-09-2005,nm0045393,Abhishek Bachchan,"$111,551",149210.6176,4024023,13373.0077
192,tt0476527,Bluffmaster!,12-16-2005,nm0045393,Abhishek Bachchan,"$718,956",961675.5456,4135574,13868.87831
180,tt0449999,Kabhi Alvida Naa Kehna,08-11-2006,nm0045393,Abhishek Bachchan,"$3,275,444",4312122.026,4854530,24199.50575
170,tt0485522,Umrao Jaan,11-03-2006,nm0045393,Abhishek Bachchan,"$485,000",638502.5,8129974,43519.24433
201,tt0441048,Dhoom:2,11-24-2006,nm0045393,Abhishek Bachchan,"$2,643,586",3480280.969,8614974,41628.88153
181,tt0499375,Guru,01-12-2007,nm0045393,Abhishek Bachchan,"$2,096,000",2715158.4,11258560,82032.80992
191,tt0833476,Jhoom Barabar Jhoom,06-15-2007,nm0045393,Abhishek Bachchan,"$695,157",900506.3778,13354560,94772.98232
175,tt0490210,Sarkar Raj,06-06-2008,nm0045393,Abhishek Bachchan,"$1,009,065",1285851.53,14049717,138115.9275
167,tt1060249,Drona,10-02-2008,nm0045393,Abhishek Bachchan,"$475,104",605425.0272,15058782,148584.8059
188,tt1185420,Dostana,11-14-2008,nm0045393,Abhishek Bachchan,"$1,243,910",1585114.513,15533886,151768.9518
196,tt1043451,Delhi-6,02-20-2009,nm0045393,Abhishek Bachchan,"$879,913",1102706.972,16777796,236949.0027
171,tt1532957,Paa,12-04-2009,nm0045393,Abhishek Bachchan,"$199,228",249672.5296,17657709,247489.1769
194,tt1334470,Raavan,06-18-2010,nm0045393,Abhishek Bachchan,"$708,726",873221.3046,17856937,354087.444
168,tt1637691,Khelein Hum Jee Jaan Sey,12-03-2010,nm0045393,Abhishek Bachchan,0,0,18565663,370356.4292
165,tt1772872,Game,04-01-2011,nm0045393,Abhishek Bachchan,"$139,528",168968.408,18565663,524434.0279
199,tt1618430,Dum Maaro Dum,04-22-2011,nm0045393,Abhishek Bachchan,"$564,489",683596.179,18705191,529206.9672
172,tt1784589,Players,01-06-2012,nm0045393,Abhishek Bachchan,0,0,19269680,782407.498
174,tt1728986,Bol Bachchan,07-06-2012,nm0045393,Abhishek Bachchan,"$1,216,258",1447225.394,19269680,777601.0937
195,tt1833673,Dhoom:3,12-20-2013,nm0045393,Abhishek Bachchan,"$8,031,955",9387749.004,20485938,1194288.369
202,tt2461132,Happy New Year,10-24-2014,nm0045393,Abhishek Bachchan,0,0,28517893,2460226.582
197,tt3547616,All Is Well,08-21-2015,nm0045393,Abhishek Bachchan,0,0,28517893,3355101.594
169,tt4559046,Housefull 3,06-03-2016,nm0045393,Abhishek Bachchan,"$1,326,999",1466997.395,28517893,4793002.277
183,tt5742874,Sarkar 3,05-12-2017,nm0045393,Abhishek Bachchan,"$249,588",270653.2272,29844892,7199372.184
189,tt5474036,Manmarziyaan,09-14-2018,nm0045393,Abhishek Bachchan,"$567,417",603334.4961,30094480,10329632.01
185,tt7212754,Ludo,11-12-2020,nm0045393,Abhishek Bachchan,0,0,30661897,21488470.15
176,tt9614452,The Big Bull,04-08-2021,nm0045393,Abhishek Bachchan,0,0,30661897,30661897
213,tt0286106,Signs,08-02-2002,nm1113550,Abigail Breslin,"$227,966,634",319358457.6,0,0
228,tt0387925,Chestnut: Hero of Central Park,07-20-2005,nm1113550,Abigail Breslin,0,0,227966634,1061321.745
229,tt0420291,Keane,09-21-2005,nm1113550,Abigail Breslin,"$33,256",44483.2256,227966634,757599.932
226,tt0449059,Little Miss Sunshine,08-18-2006,nm1113550,Abigail Breslin,"$59,891,098",78846630.52,227999890,1082496.804
220,tt0482629,The Ultimate Gift,03-09-2007,nm1113550,Abigail Breslin,"$3,438,735",4454537.319,287890988,2081103.9
231,tt0481141,No Reservations,07-27-2007,nm1113550,Abigail Breslin,"$43,107,979",55842076,291329723,1982754.805
222,tt0832266,"Definitely, Maybe",02-14-2008,nm1113550,Abigail Breslin,"$32,241,649",41085533.32,334437702,3363713.205
216,tt0410377,Nim's Island,04-04-2008,nm1113550,Abigail Breslin,"$48,006,762",61175016.82,366679351,3638407.466
214,tt0846308,Kit Kittredge: An American Girl,07-02-2008,nm1113550,Abigail Breslin,"$17,657,973",22501554.99,414686113,4145438.63
230,tt1078588,My Sister's Keeper,06-26-2009,nm1113550,Abigail Breslin,"$49,200,230",61657728.24,432344086,6051240.073
215,tt1156398,Zombieland,10-02-2009,nm1113550,Abigail Breslin,"$75,590,286",94729746.42,481544316,6837620.989
217,tt1192628,Rango,03-04-2011,nm1113550,Abigail Breslin,"$123,477,607",149531382.1,557134602,16278315.93
233,tt1509130,Janie Jones,04-29-2011,nm1113550,Abigail Breslin,"$6,840",8283.24,680612209,19961564.98
232,tt1488181,Zambezia,12-28-2012,nm1113550,Abigail Breslin,0,0,680619049,27465491.86
224,tt1911644,The Call,03-15-2013,nm1113550,Abigail Breslin,"$51,872,378",60628435.41,680619049,39236333.74
225,tt2345567,Haunter,10-17-2013,nm1113550,Abigail Breslin,0,0,732491427,42731442.39
212,tt1731141,Ender's Game,11-01-2013,nm1113550,Abigail Breslin,"$61,737,191",72158428.84,732491427,42226673.11
218,tt2027231,Perfect Sisters,10-07-2014,nm1113550,Abigail Breslin,0,0,794228618,66266375.62
219,tt1881002,Maggie,05-08-2015,nm1113550,Abigail Breslin,"$187,112",210800.3792,794228618,93440202.68
221,tt2124787,Final Girl,08-14-2015,nm1113550,Abigail Breslin,0,0,794415730,93465003.13
223,tt4191486,Yamasong: March of the Hollows,04-15-2018,nm1113550,Abigail Breslin,0,0,794415730,272484595.4
227,tt1560220,Zombieland: Double Tap,10-18-2019,nm1113550,Abigail Breslin,"$73,123,082",76208876.06,794415730,389263707.7
234,tt10696896,Stillwater,07-30-2021,nm1113550,Abigail Breslin,"$11,242,695",11242695,867538812,870624606.1
235,tt7149134,Respeto,09-20-2017,nm5392396,Abra,0,0,0,0
236,tt6205872,Assassination Nation,09-21-2018,nm8821143,Abra,"$2,005,142",2132067.489,0,0
239,tt2153500,What Happened Then... !!!,01-09-2002,nm1213227,Achint Kaur,0,0,0,0
240,tt0332766,Sur: The Melody of Life,09-13-2002,nm1213227,Achint Kaur,0,0,0,0
243,tt0314186,Humko Tumse Pyaar Hai,02-24-2006,nm1213227,Achint Kaur,0,0,0,0
237,tt1388424,"Three: Love, Lies, Betrayal",09-04-2009,nm1213227,Achint Kaur,0,0,0,0
238,tt1887763,Haunted - 3D,05-06-2011,nm1213227,Achint Kaur,0,0,0,0
241,tt2112978,Jo Hum Chahein,12-16-2011,nm1213227,Achint Kaur,0,0,0,0
244,tt5085386,Mahesh Dattani's Hasmukh Saab ki Wasihat,02-27-2015,nm1213227,Achint Kaur,0,0,0,0
242,tt4859526,Friend Request,10-23-2015,nm1213227,Achint Kaur,0,0,0,0
245,tt10243678,Chopsticks,05-31-2019,nm1213227,Achint Kaur,0,0,0,0
250,tt0403987,Domitilla II,12-30-1899,nm1579661,Ada Ameh,0,0,0,0
251,tt0467557,Domitilla,12-30-1899,nm1579661,Ada Ameh,0,0,0,0
252,tt9790478,King of Shitta,12-30-1899,nm1579661,Ada Ameh,0,0,0,0
253,tt6139584,Atlas,12-30-1899,nm1579661,Ada Ameh,0,0,0,0
254,tt13155940,My Village People,12-30-1899,nm1579661,Ada Ameh,0,0,0,0
247,tt8336782,Our Husband,04-07-2017,nm1579661,Ada Ameh,0,0,0,0
248,tt10508526,Ghana Must Go,04-21-2017,nm1579661,Ada Ameh,0,0,0,0
249,tt11073060,The Sessions,06-30-2020,nm1579661,Ada Ameh,0,0,0,0
246,tt9725830,Òlòturé,10-02-2020,nm1579661,Ada Ameh,0,0,0,0
259,tt0338077,Grind,08-15-2003,nm0111013,Adam Brody,"$5,123,696",7069675.741,0,0
263,tt0311530,Missing Brendan,09-19-2003,nm0111013,Adam Brody,0,0,5123696,11512.35611
258,tt0356910,Mr. & Mrs. Smith,06-10-2005,nm0111013,Adam Brody,"$186,336,279",249243406.8,5123696,17027.54334
264,tt0419843,In the Land of Women,04-20-2007,nm0111013,Adam Brody,"$11,052,958",14318001.79,191459975,1725176.381
260,tt0780608,Smiley Face,01-16-2008,nm0111013,Adam Brody,"$9,397",11974.5971,202512933,1993762.454
269,tt0811106,The Ten,04-25-2008,nm0111013,Adam Brody,"$769,726",980861.8418,202522330,1962243.788
262,tt1131734,Jennifer's Body,09-18-2009,nm0111013,Adam Brody,"$16,204,793",20307846.59,203292056,2816746.125
270,tt1667307,Damsels in Distress,04-26-2012,nm0111013,Adam Brody,"$1,008,455",1199960.605,219496849,9023062.594
272,tt2201221,Some Girl(s),06-26-2013,nm0111013,Adam Brody,0,0,220505304,12722731.89
257,tt2193265,Welcome to the Jungle,02-08-2014,nm0111013,Adam Brody,0,0,220505304,18159559.96
271,tt2399406,Growing Up and Other Lies,04-26-2014,nm0111013,Adam Brody,0,0,220505304,18159559.96
256,tt2870808,Life Partners,11-06-2014,nm0111013,Adam Brody,"$8,265",9485.7405,220505304,18159559.96
267,tt4163960,Showing Roots,04-23-2016,nm0111013,Adam Brody,0,0,220513569,37061920.71
255,tt3838992,Yoga Hosers,09-02-2016,nm0111013,Adam Brody,0,0,220513569,37061715.54
266,tt4986754,Big Bear,09-22-2017,nm0111013,Adam Brody,0,0,220513569,52945307.92
268,tt6098380,Isabelle,05-24-2019,nm0111013,Adam Brody,0,0,220513569,108051648.8
