,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,TitleLower
1421,2013,2013,Before Midnight,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,5.0,897.0,2335.0,246914.0,8110621.0,9138163.0,15130568.0,23241189.0,before midnight
1422,2013,2013,Machete Kills,Open Road,Action,Original Screenplay,Live Action,Contemporary Fiction,20000000.0,2538.0,2538.0,6804.0,3837183.0,8008161.0,9022719.0,10264848.0,18273009.0,machete kills
1423,2013,2013,Promised Land,Focus Features,Drama,Original Screenplay,Live Action,Historical Fiction,15000000.0,25.0,1676.0,3482.0,173915.0,7597898.0,8666239.0,4796664.0,12394562.0,promised land
1424,2013,2013,The Spectacular Now,A24,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,2500000.0,4.0,770.0,2729.0,197415.0,6852971.0,7721175.0,63980.0,6916951.0,the spectacular now
1425,2013,2012,The Company You Keep,Sony Pictures Classics,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,2000000.0,5.0,807.0,2429.0,131718.0,5132442.0,5782671.0,15955318.0,21087760.0,the company you keep
1426,2013,2013,Frances Ha,IFC Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,3000000.0,4.0,233.0,1119.0,137398.0,4067398.0,4582693.0,7151223.0,11218621.0,frances ha
1427,2013,2013,The To Do List,CBS Films,Comedy,Original Screenplay,Live Action,Historical Fiction,1500000.0,591.0,591.0,1262.0,1579402.0,3491669.0,3934028.0,637159.0,4128828.0,the to do list
1428,2013,2013,Metallica Through the Never,Picturehouse,Concert/Performance,Based on Musical Group,Live Action,Factual,18000000.0,305.0,589.0,1250.0,1576561.0,3419967.0,3853246.0,5662939.0,9082906.0,metallica through the never
1429,2013,2013,The Fifth Estate,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,26000000.0,1769.0,1769.0,3774.0,1673351.0,3254172.0,3666446.0,2900000.0,6154172.0,the fifth estate
1430,2013,2013,Filly Brown,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,1250000.0,188.0,259.0,811.0,1478323.0,2850357.0,3211469.0,90054.0,2940411.0,filly brown
1431,2013,2013,Trance,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,16000000.0,4.0,443.0,1213.0,131145.0,2322593.0,2616838.0,20271459.0,22594052.0,trance
1432,2013,2013,The Iceman,Alchemy,Drama,Based on Real Life Events,Live Action,Dramatization,10000000.0,4.0,258.0,565.0,87946.0,1930282.0,2174831.0,1693327.0,3623609.0,the iceman
1433,2013,2013,Stoker,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,12000000.0,7.0,275.0,750.0,160547.0,1703125.0,1918892.0,10331788.0,12034913.0,stoker
1434,2013,2013,L'attentat,Cohen Media Group,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,3750000.0,3.0,55.0,391.0,26352.0,1625707.0,1831661.0,1612268.0,3237975.0,l'attentat
1435,2013,2013,The Lords of Salem,Anchor Bay Entertainment,Horror,Original Screenplay,Live Action,Fantasy,1500000.0,355.0,355.0,700.0,642942.0,1165881.0,1313581.0,375250.0,1541131.0,the lords of salem
1436,2013,2013,Phantom,RCR Media Group,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,18000000.0,1118.0,1118.0,2553.0,508000.0,1034589.0,1165656.0,164921.0,1199510.0,phantom
1437,2013,2013,Only God Forgives,Radius,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,4800000.0,78.0,81.0,243.0,313958.0,775849.0,874139.0,3718711.0,4494560.0,only god forgives
1438,2013,2012,On the Road,IFC Films,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,25000000.0,4.0,107.0,350.0,39550.0,720828.0,812144.0,8592474.0,9313302.0,on the road
1439,2013,2012,Jagten,Mongrel Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,3450000.0,0.0,47.0,256.0,0.0,687185.0,774240.0,17622608.0,18309793.0,jagten
